Gene1,Gene2,Error
NAT10,RPTOR,0.00078148046
NAT10,UQCRB,0.0009888046
EEF1G,TGIF2,0.0010815958
EEF1G,EXOSC6,0.0025949504
MARS2,MRPL18,0.0038533185
HYPK,RAD51,0.005666511
PPCS,PTCD3,0.0067442963
PDRG1,SLC7A6OS,0.0067459126
KARS,KIF11,0.007520419
NAT10,SKIV2L,0.0080248015
KIF11,MED9,0.009315837
AARS2,MCM4,0.011969317
C9orf114,RPLP2,0.01199055
NFE2L1,TFB1M,0.0122697735
HCCS,MRPL42,0.012454591
NACA,NFE2L1,0.013089294
RBFA,RPL27,0.0132225165
MRPL43,NOL10,0.013518031
MZT1,NAT10,0.01383548
MAT2A,NOL9,0.01408018
PDRG1,RPP30,0.014182089
BOD1L1,ZMAT2,0.014584751
BTF3,LARS2,0.015337787
ANKZF1,CEP152,0.015563983
RRM1,STXBP4,0.018686028
PMVK,TBCB,0.018753689
NFYC,NOL9,0.018923352
MARS2,PPCS,0.01895895
MRPS23,SRSF7,0.019288458
LARS2,MRPL27,0.020142788
GNL2,RINT1,0.020406399
DLST,GNL2,0.020606559
EEF1G,SGOL1,0.020812787
MRPS18A,MRPS9,0.021128781
EFR3A,POLR2K,0.021209678
BDP1,NDUFA8,0.021502463
FBXO28,SRP19,0.021959813
LARS,RFC4,0.022110589
ACTR10,SMC5,0.022347013
FDPS,HCCS,0.02319846
GTF2H4,RBM22,0.023952035
MED28,NACA,0.024661908
PPAT,TRPM7,0.024764005
MRPL39,NOL10,0.024810676
RNF20,RPL35,0.026017683
DDX18,MRPS16,0.026563888
C6orf203,CNOT1,0.027193107
CDC73,SSB,0.0276218
RPL35,RPTOR,0.031549007
BUB3,CLSPN,0.033447254
RPL8,TIMM9,0.0336285
LEO1,WDR61,0.034211516
EBNA1BP2,POLD3,0.034278974
MRPS28,NCBP1,0.03477295
LEO1,VPS72,0.035184026
SFXN1,UBA3,0.03676035
CLSPN,SNRPC,0.037407476
RRM1,SPATA5,0.037468296
CARS,SNAPC1,0.038632665
PTCD3,TRA2B,0.03873172
DNA2,NOC2L,0.03911455
EBNA1BP2,MED24,0.039458685
MBTPS2,NUDC,0.039577663
NOC2L,RPL24,0.041431807
MRPS25,TOMM22,0.04295561
CCT8,SNRPC,0.04309277
KCTD10,PPP2R1A,0.043174386
COX5A,TGIF2,0.04503778
MRPL18,PRIM2,0.045155745
MAT2A,RPS28,0.045433234
NAA50,PMVK,0.0467796
LEO1,PSMD1,0.04690528
DCTN4,POLR2K,0.047047786
CCDC84,EFR3A,0.047143698
MRPS21,NAMPT,0.04818005
NDUFA2,ZNRD1,0.048891358
RBBP8,TRMT5,0.05128188
