Gene1,Gene2,Error
MRPS18A,MRPS9,0.00038841733
PDRG1,SLC7A6OS,0.0009191555
NFE2L1,TFB1M,0.0012117518
MARS2,MRPL18,0.0012702171
PDRG1,RPP30,0.0018144881
MRPS25,TOMM22,0.0019175265
NAT10,RPTOR,0.002601027
NACA,NFE2L1,0.0028791295
KARS,KIF11,0.0038115236
NAA25,NDUFB1,0.0039298446
NAT10,UQCRB,0.004040422
DLST,GNL2,0.0043574534
RBBP8,TRMT5,0.0045649456
GNL2,RINT1,0.0047593494
KIF11,MED9,0.004905869
MAT2A,NOL9,0.0054525314
EEF1G,TGIF2,0.0062420224
PPCS,PTCD3,0.006645908
RRM1,SPATA5,0.0071097524
RPL8,TIMM9,0.007149281
CDC40,MRPL46,0.007698936
NFYC,NOL9,0.0081856605
TRMT5,ZMAT5,0.008449988
CLSPN,SNRPC,0.008908503
EEF1G,EXOSC6,0.009294978
LARS2,MRPL27,0.0098324185
HYPK,RAD51,0.009895691
BUB3,CLSPN,0.010861176
MRPL43,NOL10,0.011190614
BTF3,LARS2,0.011259643
EFR3A,POLR2K,0.0113283135
HCCS,MRPL42,0.011904843
CARS,SNAPC1,0.012247943
DDX18,MRPS16,0.012522471
C9orf114,RPLP2,0.012898149
ADAT2,SEC22B,0.013568447
CDC27,RPP30,0.013637386
MED28,NACA,0.014000296
PMVK,TBCB,0.014157544
MARS2,PPCS,0.01447458
EBNA1BP2,MED24,0.014850229
RBFA,RPL27,0.015859526
CARS2,MRPS9,0.01595281
REXO2,SNAPC1,0.017072199
EBNA1BP2,POLD3,0.01769737
CIRH1A,GNL2,0.017818956
MRPS28,NCBP1,0.017906273
FDPS,HCCS,0.019346604
EIF4G1,EIF6,0.019586986
SFXN1,UBA3,0.02014476
ACTR10,SMC5,0.020265022
MRPL19,SLC7A6OS,0.020390892
AARS2,MCM4,0.02083604
MTHFD2,TRRAP,0.02127374
LEO1,WDR61,0.021546006
MRPL39,NOL10,0.021732356
LEO1,VPS72,0.022071958
CDC73,SSB,0.022116242
MRPL27,POLD1,0.022416854
FBXO28,SRP19,0.023026336
MRPL18,PRIM2,0.023140807
DHX37,TSEN2,0.024344383
BOD1L1,ZMAT2,0.025167497
MAT2A,RPS28,0.025877396
NOC2L,RPL24,0.026004242
LARS,RFC4,0.026186815
POLD1,USE1,0.027801933
NUBP1,WDR36,0.028080897
NAA50,PMVK,0.0282036
CEP192,RPS28,0.028513504
LEO1,PSMD1,0.030588329
C6orf203,CNOT1,0.031029973
NAT10,SKIV2L,0.032003682
RRM1,STXBP4,0.03287048
CCT8,SNRPC,0.032901805
NDUFB1,TUBGCP5,0.03349721
MBTPS2,NUDC,0.033857882
BDP1,NDUFA8,0.034035165
CARS2,NSMCE4A,0.034484074
DDX18,NCAPD2,0.03593684
MRPS23,SRSF7,0.036043257
PPP2R1A,SNRPG,0.036480367
KCTD10,PPP2R1A,0.03661859
DNTTIP2,NCBP1,0.03782549
AATF,MINOS1,0.03793437
ACTR10,PDRG1,0.037954077
COPS4,NSMCE4A,0.03870055
CCDC84,EFR3A,0.038856573
RPL35,RPTOR,0.03901961
GNL2,ZNF830,0.03912384
PTCD3,TRA2B,0.039129145
MRPS21,NAMPT,0.04013483
DHX37,POLR3B,0.04189844
COX5A,TGIF2,0.042183116
NSMCE4A,ZNHIT6,0.043642327
PPAT,TRPM7,0.0450318
LEO1,NDUFB1,0.045711756
LEO1,RTF1,0.045905054
WDR61,WDR7,0.047503293
NDUFA2,ZNRD1,0.047864806
PPP2R1A,TAF2,0.048481703
DNA2,NOC2L,0.048563313
MED23,TIMELESS,0.05061418
DCTN4,POLR2K,0.052629877
MZT1,NAT10,0.0534059
ATP5A1,DHX37,0.05524146
GFI1B,PELO,0.055826783
NIP7,SLC7A1,0.056111384
LEO1,PNN,0.056852758
FDPS,PPP2R1A,0.060060143
HUS1,WDR61,0.06024009
CDC26,SNRPD3,0.06055668
ANAPC13,PPP2R1A,0.06210959
PPP2R1A,UBA3,0.06264722
LEO1,SDHC,0.06283772
EIF5B,NOL8,0.06329414
PELO,PSMD1,0.0647496
LEO1,MAX,0.06630075
MRPS35,TOMM22,0.06637879
LEO1,PSMC6,0.06763655
COQ2,NFE2L1,0.068658635
CENPM,MBTPS2,0.068822145
RNF20,RPL35,0.06932873
MRPS21,TSEN2,0.069958605
MRPL43,MRPS18B,0.070985116
