Gene1,Gene2,Error
EEF1G,TGIF2,4.248461e-05
EEF1G,EXOSC6,0.00010648256
MRPS18A,MRPS9,0.00013386589
NFE2L1,TFB1M,0.00029544404
ACTR10,SMC5,0.00057900435
PDRG1,SLC7A6OS,0.00060509396
LARS2,MRPL27,0.0008409991
BTF3,LARS2,0.0010473746
MARS2,MRPL18,0.001151647
PPAT,TRPM7,0.0012058491
ANKZF1,CEP152,0.0013312821
EEF1G,SGOL1,0.0021227086
NACA,NFE2L1,0.0021522401
MAT2A,RPS28,0.0022223312
KARS,KIF11,0.0024409425
KIF11,MED9,0.0025898027
FBXO28,SRP19,0.0029572041
DLST,GNL2,0.0030417168
EBNA1BP2,MED24,0.0031918702
EBNA1BP2,POLD3,0.0032086875
CEP192,RPS28,0.0032576835
PDRG1,RPP30,0.0040635653
HCCS,MRPL42,0.004393119
RNF20,RPL35,0.004577641
CARS2,MRPS9,0.0047819573
COG3,RPS28,0.004989828
CCT8,SNRPC,0.0049981875
MRPS23,SRSF7,0.0051336996
RPL8,TIMM9,0.005143887
ANKZF1,ARL2,0.005212873
MRPL43,NOL10,0.005214114
MTHFD2,TRRAP,0.005237259
MRPS25,TOMM22,0.005723098
GNL2,RINT1,0.006350092
NAT10,UQCRB,0.0071275844
LARS,RFC4,0.0072069014
ANKZF1,RPL36A,0.007222961
MRPL39,NOL10,0.0073026633
MRPL27,POLD1,0.007404801
RRM1,STXBP4,0.007426478
COX7C,NSMCE1,0.007756663
RBFA,RPL27,0.008069369
NDUFB1,TUBGCP5,0.008139516
MRPL19,SLC7A6OS,0.0085829
BUB3,CLSPN,0.008666726
RBBP8,TRMT5,0.009305176
AARS2,MCM4,0.009555359
C9orf114,RPLP2,0.00956982
PMVK,TBCB,0.010237474
MARS2,PPCS,0.010424608
BDP1,NDUFA8,0.0108212605
MAT2A,NOL9,0.011621897
CDC40,MRPL46,0.01230019
POLD1,USE1,0.01300469
BOD1L1,ZMAT2,0.013148728
FDPS,HCCS,0.013263606
DDX18,MRPS16,0.013582266
SFXN1,UBA3,0.013724177
C6orf203,CNOT1,0.01413672
NAA25,NDUFB1,0.015998641
CDC27,RPP30,0.017058881
COPS4,NSMCE4A,0.01708507
CLSPN,SNRPC,0.017319262
MED28,NACA,0.017955562
DHX37,POLR3B,0.018708002
EFR3A,POLR2K,0.019114379
RRM1,SPATA5,0.019493554
PPCS,PTCD3,0.020145714
NOC2L,RPL24,0.020850342
LEO1,WDR61,0.021120667
COX7C,SSB,0.02151077
NAA50,PMVK,0.021944908
