Gene1,Gene2,Error
NUP43,TIMELESS,0.105216265
HUS1,SDHC,0.105535924
ERH,ZNF574,0.10583395
SEC22B,WDR61,0.10605395
PELO,RPLP1,0.106455326
PELO,POLN,0.106658876
SCO1,SNRPB,0.107059784
EIF4G1,MRPL15,0.10896273
ATXN10,NOL8,0.10927827
BDP1,NDUFA8,0.10944009
MRPS35,NDUFA9,0.11076005
BUB3,PHF5A,0.111351825
HUS1,METAP2,0.11267227
GNL3L,KIAA1731,0.11288184
CENPM,MFAP1,0.11311698
INTS3,XRN2,0.11358136
CKAP5,NUDC,0.11388123
ARL2,CEP63,0.113975525
TOMM22,TRNAU1AP,0.11459218
EMC1,MBTPS2,0.11549389
NUP54,TIMELESS,0.116398394
GTF2H4,RBM22,0.116926275
MED23,NDUFB2,0.11751133
PDSS2,RINT1,0.1181049
CHMP2A,NUDC,0.11891931
NOLC1,XRN2,0.12004918
SNIP1,ZNRD1,0.12282751
MRPS5,MTOR,0.12352902
LEO1,SLC7A6OS,0.12362099
NDUFB1,TUBGCP5,0.1254411
KIAA1731,SEC22B,0.1271717
CACTIN,HUS1,0.12726778
EIF3H,RPL13,0.12863328
CDK1,PELO,0.12986714
ATP5F1,SNRPC,0.13009848
CACTIN,TIMELESS,0.130153
BTF3,MCM4,0.1301913
GINS4,MED23,0.13350469
NDUFB1,PGK1,0.13570875
LEO1,NAT10,0.13597679
MRP63,PHF5A,0.13605034
PPCS,TCOF1,0.1363349
CSTF3,EIF3D,0.13662936
SKA3,TAZ,0.13752365
PPWD1,RAD51,0.13798745
RPF2,SRFBP1,0.14319861
AURKA,UBA2,0.14324939
C9orf114,EMG1,0.1450022
CENPK,COPS5,0.14511806
TAF2,UBA2,0.14524227
INTS5,SNRPD3,0.14530522
PAFAH1B1,RPL28,0.14543414
ATXN10,REXO2,0.14644413
PTCD3,TRA2B,0.14666183
MED23,VPS29,0.14772016
NUP54,WDR61,0.1491813
SKIV2L2,TAF1,0.14973758
CCNK,EXOSC9,0.15137589
MRPL22,PSMD12,0.15171438
MCM3,PDCD7,0.1518185
IARS,USMG5,0.15198958
DLST,MED28,0.15335415
MRPS5,TAF2,0.15337515
CAPZB,GTF2H1,0.153457
PMPCB,RBM17,0.1545897
SCYL1,VPS4A,0.1557833
NOL8,USMG5,0.15653186
INTS5,NCAPD2,0.15690893
BTF3,DLST,0.15705067
CDC73,LEO1,0.15750611
CENPW,SGOL1,0.15819919
CARS,XRN2,0.15982592
INTS5,SLC39A9,0.1611892
EIF3H,SNRPD3,0.16145712
DCAF7,ZNF574,0.16172802
ANAPC13,SGOL1,0.16285521
ATP5J2,FAM50A,0.16596907
CENPM,TAF2,0.16719848
POLR2K,SYVN1,0.16728775
POLN,QARS,0.16736564
MED24,ZNF598,0.1691884
EMC4,MED23,0.17143798
MED23,PPCS,0.17150778
NFYC,POLR2B,0.17172049
RPL27,TCOF1,0.17227882
MED14,PSMD1,0.17374665
ARL2,ZMAT5,0.1750865
IMPDH2,PAXBP1,0.17578784
CDCA8,UBA2,0.17696953
PFAS,UMPS,0.17712991
SKA3,SRSF7,0.17718858
COPS4,INTS5,0.1775505
PPIE,ZNF511,0.179713
NUBP1,WDR36,0.18067347
CEP63,SGOL1,0.18221688
DYNC1H1,MRPL42,0.18334371
MRPS5,VPS29,0.18529552
MASTL,TCOF1,0.18565744
PSMC1,TIMM9,0.18586043
COG3,SCYL1,0.18666875
NDUFB1,TAZ,0.1866883
PAXBP1,PWP1,0.18804425
DCAF7,TIMELESS,0.18852508
COX16,LIAS,0.18877305
HUS1,POLE2,0.18892217
EIF6,XRN2,0.19388777
FAM98B,HSCB,0.19427805
ANAPC13,TIPIN,0.19813967
MBTPS2,RPL30,0.19838649
MRPL22,PSMD6,0.19934213
PWP1,TCOF1,0.19939065
PRIM2,UBA2,0.19952089
LIAS,TCOF1,0.19966531
RBM17,TIMELESS,0.19980967
NUP43,TRA2B,0.20326
TIMELESS,WDR77,0.20408624
EMC1,MED23,0.20711869
ARL2,RPLP1,0.2079224
GFI1B,RRM1,0.20850044
CEP63,NAA50,0.20994627
NUP54,SGOL1,0.21088421
MRPL50,TIMELESS,0.21162927
NEMF,PAFAH1B1,0.21327728
FIP1L1,TIPIN,0.21399301
MRPL22,SRP19,0.21535504
BOD1L1,MCM3AP,0.21940637
RPL36A,SRSF7,0.22089124
GTF2H1,RPL27,0.22158223
GFI1B,MRPL36,0.22195506
ANAPC13,GNL3L,0.22200304
PSMD1,XPO1,0.22274005
BTF3,SDHC,0.22320513
ATP5F1,MAX,0.22409959
FAM98B,MAX,0.22471648
BOD1L1,CENPM,0.2268359
CCNK,MED23,0.227444
CARS2,PGK1,0.22878212
KCTD10,MRPL36,0.22885364
MRPL22,PSMC1,0.23133057
POLE2,UBA2,0.23177052
MFAP1,PITRM1,0.23182034
ATP5J2,CMAS,0.23210654
CENPK,PPWD1,0.23277676
EIF3C,PSMD1,0.23302823
NAA25,NDUFB1,0.23388419
HUS1,RAD51,0.23524141
ARL2,RPL23,0.23752481
COPE,SCYL1,0.23842955
HUS1,MCM4,0.23888159
BOD1L1,SCYL1,0.24152577
ATXN10,RNGTT,0.24257429
NDUFA9,PDSS2,0.24278893
CTNNBL1,MRPL13,0.244527
GTF2H4,MINOS1-NBL1,0.245269
GFI1B,SNRPB,0.24576008
QARS,WDR61,0.24737835
FAM208A,NOP58,0.2524488
FAM98B,INTS5,0.25317544
INTS5,MASTL,0.25546938
EIF3H,NOC2L,0.25669545
NCBP1,ZNF574,0.2568934
RPL28,ZNF830,0.25800228
CIT,MFAP1,0.26217633
BNIP1,SSB,0.26289248
CDC26,TCOF1,0.26483777
RBM25,UBA3,0.26591685
ROMO1,TAZ,0.26645303
EIF4G1,MRPL22,0.26829296
TAZ,TIMM23B,0.26907158
MRPS10,PMPCB,0.26936653
POLA1,RPL36A,0.2695896
COA3,FAM208A,0.27053106
PSMD4,SSBP1,0.2710696
GINS4,NUP54,0.27274358
GINS4,METAP2,0.27420914
DONSON,GNL3L,0.27580756
SSBP1,TAZ,0.2759531
GNL3L,METTL17,0.27632195
DYNC1H1,NFYC,0.27863112
ARL2,CEP192,0.28099954
PSMD6,TAF2,0.28232318
MTOR,NDUFA9,0.28232616
KIAA1731,LUC7L3,0.28237355
GTF2H4,RNGTT,0.28449208
MRPL10,PGK1,0.28510964
CCNK,SGOL1,0.2851737
COQ2,MRPS10,0.2855098
NDUFA8,PSMC1,0.2859776
NOP58,SKIV2L,0.28623882
MRPL33,PGK1,0.28882766
SRSF7,YTHDC1,0.2922002
AFG3L2,NDUFA8,0.29368508
KCTD10,MRPS21,0.29558867
NDUFA8,PSMC6,0.29568636
RPL8,VPS72,0.2966416
CKAP5,MPHOSPH6,0.29769623
MRPL36,TAZ,0.29770988
NEMF,PSMD4,0.29781443
MED14,USE1,0.2997557
MZT1,SSB,0.3015597
EXOSC2,RPL35,0.30405462
PTTG1,RPL32,0.30407023
EMC2,FDPS,0.30511975
ATP1A1,MRPS11,0.30916882
GTF2H4,MRPS10,0.31120616
KIF14,SRSF7,0.31208843
INTS3,SSB,0.3122725
COX6C,MTBP,0.31543732
FAM50A,PET112,0.31770813
CDCA8,DLST,0.317839
MED14,RBBP8,0.3191725
ATP1A1,LUC7L3,0.32014468
CKAP5,METAP2,0.3208754
NFYC,NUP54,0.32515794
CAMLG,KIF14,0.32566905
INTS3,MTERFD1,0.32629937
STXBP4,TIMELESS,0.32762462
ATP6AP1,EMC7,0.32994604
CDK12,MED1,0.330705
BUB3,CENPM,0.33273077
CAMLG,FIP1L1,0.3332913
MINOS1-NBL1,VPS29,0.33445215
EMC6,FDPS,0.3348264
MED23,POLD1,0.33493918
CEP192,GNL3L,0.3371327
ATP5A1,PRIM2,0.34110162
ATP6AP1,EMC4,0.34436315
TTI2,WDR70,0.34507483
ABCB7,TAF2,0.3466465
POLE2,SSB,0.34736508
CEP152,COPE,0.35066172
ATP5F1,EMC2,0.35073996
ACTR10,ANAPC13,0.35077816
MED22,RPL35,0.3524564
MED28,RPL23,0.3552547
PHF5A,ZCCHC9,0.35618097
