Gene1,Gene2,Error
NACA,NFE2L1,6.222349e-07
NFE2L1,TFB1M,4.090492e-06
NAT10,RPTOR,2.194903e-05
NAT10,UQCRB,3.2033917e-05
MARS2,MRPL18,3.551762e-05
PDRG1,SLC7A6OS,8.706926e-05
PPAT,TRPM7,0.00014629493
MRPS18A,MRPS9,0.0001500882
MED28,NACA,0.00019882564
PDRG1,RPP30,0.00022419289
EEF1G,TGIF2,0.0002453821
CDC27,RPP30,0.00025488393
PMVK,TBCB,0.0002810216
RBBP8,TRMT5,0.00038219208
MAT2A,NOL9,0.00045728587
DLST,GNL2,0.00047797934
MRPL19,SLC7A6OS,0.0004944154
ACTR10,SMC5,0.00057259435
LARS2,MRPL27,0.00058092136
MZT1,NAT10,0.0006748031
BTF3,LARS2,0.0006970054
MRPL18,PRIM2,0.0007122712
MRPL39,NOL10,0.00077345385
NAT10,SKIV2L,0.0007852314
TRMT5,ZMAT5,0.00079161715
COQ2,NFE2L1,0.0009623643
HCCS,MRPL42,0.001046171
KIF11,MED9,0.0010707674
MRPL27,POLD1,0.0010960182
GNL2,RINT1,0.0011376999
EEF1G,EXOSC6,0.0012275208
DDX18,MRPS16,0.0012291776
NAA50,PMVK,0.0012681168
FDPS,HCCS,0.0015585152
CDC40,MRPL46,0.0018645027
MRPL43,NOL10,0.00187075
MRPS25,TOMM22,0.001947378
NFYC,NOL9,0.0019806875
POLD1,USE1,0.0020798915
LARS,RFC4,0.0023392464
PPCS,PTCD3,0.002419781
RPL8,TIMM9,0.0025146825
CARS2,MRPS9,0.002534664
EBNA1BP2,MED24,0.0029511545
REXO2,SNAPC1,0.0030737254
BUB3,CLSPN,0.003087588
KARS,KIF11,0.0031686241
FBXO28,SRP19,0.003433157
CARS,SNAPC1,0.0037899502
NIP7,SLC7A1,0.0045268415
MRPS23,SRSF7,0.0047204476
EBNA1BP2,POLD3,0.004990041
GTF2H4,RBM22,0.0049919523
CIRH1A,GNL2,0.005445792
CLSPN,SNRPC,0.005465481
EFR3A,POLR2K,0.00565375
RRM1,STXBP4,0.0057768
NOC2L,RPL24,0.0058495086
RBFA,RPL27,0.0058535757
CCT8,SNRPC,0.0059614726
MRPS21,NAMPT,0.0059729842
COX5A,TGIF2,0.006635406
DNA2,NOC2L,0.006808979
MAT2A,RPS28,0.0070283986
DDX18,NCAPD2,0.007215722
RRM1,SPATA5,0.0072484035
C9orf114,RPLP2,0.0072975843
MARS2,PPCS,0.007598865
MRPS28,NCBP1,0.008108826
COX7C,NSMCE1,0.008141838
BDP1,NDUFA8,0.008159185
RNF20,RPL35,0.008738545
MTHFD2,TRRAP,0.008759301
CARS2,NSMCE4A,0.009194002
BOD1L1,ZMAT2,0.009385821
COPS4,NSMCE4A,0.010059455
AARS2,MCM4,0.010297069
AATF,MINOS1,0.011727417
DCTN4,POLR2K,0.011820404
DHX37,TSEN2,0.012222068
DNTTIP2,NCBP1,0.013358366
EIF4G1,EIF6,0.015422714
PTCD3,TRA2B,0.015719425
CCDC84,EFR3A,0.015793312
LEO1,WDR61,0.016440809
ANKZF1,CEP152,0.017765865
DLST,MED28,0.01922057
DHX37,POLR3B,0.019227216
GNL2,ZNF830,0.019517276
CDC73,SSB,0.019908844
LEO1,VPS72,0.020246446
BTF3,DLST,0.021042885
MRPL50,PPAT,0.02189892
RPL35,RPTOR,0.022462143
NSMCE4A,ZNHIT6,0.023050062
LEO1,PSMD1,0.025774658
COX7C,NCAPD2,0.026197713
MRPS21,TSEN2,0.026899945
LEO1,NDUFB1,0.02740711
SFXN1,UBA3,0.028732298
COX7C,SSB,0.028953288
C6orf203,CNOT1,0.029787699
EIF5B,NOL8,0.030941296
KCTD10,PPP2R1A,0.033910096
CEP192,RPS28,0.036961798
EEF1G,SGOL1,0.03892281
MRPL39,PSMB7,0.041610815
HYPK,RAD51,0.041687462
PPP2R1A,SNRPG,0.041692734
EIF3H,NOC2L,0.04175535
PNISR,POLN,0.042411536
LEO1,RTF1,0.04255241
MBTPS2,NUDC,0.044358015
EIF4G1,MRPL15,0.045024656
PPP2R1A,TAF2,0.04557365
NDUFA2,ZNRD1,0.045578513
WDR61,WDR7,0.046259105
MRPS28,POLR3B,0.047030795
CDCA8,DLST,0.047124386
HUS1,WDR61,0.04866147
CDC27,PPCS,0.048838064
LEO1,SDHC,0.049365163
LEO1,PNN,0.04971701
ATP5A1,DHX37,0.050133757
MED23,TIMELESS,0.05029148
ANAPC13,PPP2R1A,0.051199853
NDUFB1,TUBGCP5,0.051264346
COPS5,PPP2R1A,0.05163586
GFI1B,PELO,0.051639915
FDPS,PPP2R1A,0.052344978
CDC26,SNRPD3,0.053086326
BTF3,MCM4,0.053188115
COG3,RPS28,0.05395961
PAFAH1B1,ZNF574,0.054785132
ACTR10,EIF3M,0.0554208
LEO1,MAX,0.056606174
KIF14,PPP2R1A,0.056781173
PPP2R1A,UBA3,0.05740291
CCNK,EXOSC9,0.05775216
CAPZB,IARS,0.05779625
NFYC,POLR2B,0.058246184
SLC35A1,TAF1A,0.06286708
LEO1,PSMC6,0.0629648
CENPM,MBTPS2,0.06329471
SCO1,SNRPB,0.06357101
PELO,PSMD1,0.063797355
PELO,RPL36A,0.064046144
ARL2,KIAA1731,0.06547254
NAA25,NDUFB1,0.066802025
KDM1A,LEO1,0.0672642
GPN3,LEO1,0.06940794
PPP2R1A,PSMD6,0.07004243
CDK1,LEO1,0.072026074
KIAA1731,PAFAH1B1,0.072234094
CENPK,WDR61,0.07331687
DCAF7,DDX46,0.07584575
PDSS2,RINT1,0.07772813
NUP85,PPP2R1A,0.082823336
BUB3,PHF5A,0.08298871
SEC22B,WDR61,0.083450735
SKIV2L2,TAF1,0.0835876
ASNA1,RFC5,0.085914716
LEO1,PSMB7,0.08614898
MRPS35,TOMM22,0.08822366
CENPK,VPS72,0.0885852
KARS,LEO1,0.09151608
FAM98B,MED24,0.092041634
LARS,LEO1,0.09214562
EIF3H,SKA3,0.09386885
RAD51,RPL27,0.09787817
PAFAH1B1,RPL36A,0.09883875
ANAPC13,MBTPS2,0.09973633
MRPL43,MRPS18B,0.100235485
MCM3,PDCD7,0.10071379
SSB,TIMELESS,0.101849616
KIAA1731,SEC22B,0.102606535
NUBP1,WDR36,0.10270092
GTPBP4,TRA2B,0.10361302
NDUFB1,PGK1,0.104350746
SNIP1,ZNRD1,0.10466775
ARIH1,ZNF574,0.10576093
MED23,NDUFB2,0.1076473
CAPZB,GTF2H1,0.10781066
HUS1,TRA2B,0.1082322
CIRH1A,XRN2,0.10835469
KCTD10,MRPS5,0.10848999
KIF14,PELO,0.109305024
CSTF3,EIF3D,0.10968465
ERH,ZNF574,0.10998243
PPWD1,RAD51,0.11017015
DHX37,VPS29,0.11036024
MARS,PPP2R1A,0.110506
PMPCB,RBM17,0.11092602
PELO,UBA3,0.111087084
NUP54,WDR61,0.11239946
NAA50,TIMELESS,0.11438435
GINS4,MED23,0.11585379
PELO,PNN,0.11651909
EMC1,MBTPS2,0.11707616
CHMP2A,PELO,0.11790156
NUP54,TIMELESS,0.11790544
HUS1,METAP2,0.11797613
NUP43,TIMELESS,0.12025905
ATP6V1G1,WDR7,0.12182331
NUDC,NUP43,0.12274361
MRPS35,NDUFA9,0.12472933
MED14,PSMD1,0.12489039
CKAP5,NUDC,0.12509477
GNL3L,KIAA1731,0.12598473
TOMM22,TRNAU1AP,0.12701093
ARL2,CEP63,0.1273889
LEO1,NAMPT,0.12790507
MED23,VPS29,0.1284957
PELO,RPLP1,0.12860852
POLR2K,SYVN1,0.13127823
NOL8,USMG5,0.13138406
SKA3,TAZ,0.13154918
CENPM,MFAP1,0.1321559
MRPS5,MTOR,0.13273102
HUS1,SDHC,0.13334936
MRP63,PHF5A,0.1334968
SAP18,SKA3,0.13510454
INTS3,XRN2,0.13545549
COG3,NUDC,0.1359868
AURKA,TCOF1,0.13624662
MRPS5,TAF2,0.13679153
ARL2,CDC23,0.13690764
EMC1,MED23,0.13713771
POLN,QARS,0.1376504
IARS,USMG5,0.1384595
MRPL22,PSMD12,0.14000827
CACTIN,TIMELESS,0.14181232
ATXN10,REXO2,0.14250928
ATP5F1,SNRPC,0.14462245
INTS5,NCAPD2,0.1448012
COPS4,INTS5,0.14532578
PSMC1,TIMM9,0.14626774
GTF2H1,RPL27,0.14781637
CDK1,PELO,0.14946258
CHMP2A,NUDC,0.15197897
MRPS30,PDCD7,0.15272214
CENPM,TAF2,0.1527695
ARL2,ZMAT5,0.15326625
COX16,RPF2,0.15339859
PELO,POLN,0.1537869
NOLC1,XRN2,0.1550529
ATXN10,NOL8,0.15638493
NOP58,SKIV2L,0.15640387
CTNNBL1,MRPL13,0.15830213
ATP5J2,FAM50A,0.15852182
FAM98B,HSCB,0.15887475
TAF2,UBA2,0.15947664
ANKZF1,ARL2,0.16001591
INTS5,SNRPD3,0.16032755
FAM98B,MAX,0.16043332
BUB3,COPS2,0.16072023
SCYL1,VPS4A,0.16134912
MED23,PPCS,0.16150904
NDUFB1,TAZ,0.16253829
CACTIN,HUS1,0.16350257
MRPS5,VPS29,0.16706038
EIF3C,PSMD1,0.1672098
INTS5,SLC39A9,0.16900367
GFI1B,MRPL36,0.16900611
ARL2,RPLP1,0.17130274
DCAF7,ZNF574,0.17283452
KIAA1731,LUC7L3,0.17295903
RPF2,SRFBP1,0.17349327
CCNK,SGOL1,0.17433392
CENPK,COPS5,0.17442638
AURKA,UBA2,0.17454511
MFAP1,PITRM1,0.17511982
EMC4,MED23,0.17543536
PSMD1,XPO1,0.177468
ARL2,RPL23,0.18110579
CDC73,LEO1,0.18219036
AURKA,TAF1A,0.18336242
C9orf114,EMG1,0.18342851
ATP5F1,MAX,0.18382226
SKA3,SRSF7,0.18415427
CEP63,SGOL1,0.18421203
CENPW,SGOL1,0.18437713
ANAPC13,SGOL1,0.18443626
ANKZF1,RPL36A,0.18594123
ADAT2,SEC22B,0.18685228
PAFAH1B1,RPL28,0.18758225
COX16,LIAS,0.19006026
CARS,XRN2,0.19017243
EIF3H,SNRPD3,0.19180346
CDCA8,UBA2,0.19208044
PAXBP1,PWP1,0.19344783
DCAF7,TIMELESS,0.19427514
QARS,WDR61,0.19491464
ARL2,CEP192,0.19500053
MRPL22,SRP19,0.19559097
PPCS,TCOF1,0.19586086
BOD1L1,CENPM,0.19768697
NUP54,SGOL1,0.19833714
DYNC1H1,MRPL42,0.19918993
MRPL33,PGK1,0.19919384
NEMF,PAFAH1B1,0.20059878
PPWD1,SDHC,0.20220454
MRPL22,PSMD6,0.20292538
MBTPS2,RPL30,0.20335662
RPL8,VPS72,0.20373304
BOD1L1,SCYL1,0.20420206
COG3,SCYL1,0.20442456
KCTD10,MRPL36,0.2060023
LONP1,WDR61,0.20722178
ANAPC13,TIPIN,0.20771456
RPL36A,SRSF7,0.20813727
MRPS28,PDCD7,0.21005288
FIP1L1,TIPIN,0.21170765
PPIE,ZNF511,0.21177126
CIT,MFAP1,0.21192336
HUS1,RAD51,0.21283436
NDUFB4,POLN,0.21391429
MED24,ZNF598,0.21572322
TAZ,TIMM23B,0.21641779
GFI1B,RRM1,0.2165649
CARS2,PGK1,0.21691298
FAM98B,INTS5,0.21924436
NCBP1,ZNF574,0.22393453
PFAS,UMPS,0.22465417
LIAS,TCOF1,0.22486633
RBM17,TIMELESS,0.22494072
HUS1,POLE2,0.22529078
TIMELESS,WDR77,0.22659689
ACTR10,PDRG1,0.22820705
MRPL22,PSMC1,0.22886789
ATXN10,RNGTT,0.22929202
EXOSC2,RPL35,0.23245323
NDUFA9,PDSS2,0.23307751
LEO1,NAT10,0.23522544
NUP43,TRA2B,0.23887503
HUS1,MCM4,0.24086547
ANAPC13,GNL3L,0.242226
COA3,FAM208A,0.24365377
DYNC1H1,NFYC,0.2437703
INTS5,MASTL,0.24383664
KIAA1731,PWP1,0.24425912
MED14,USE1,0.2451328
RPL28,ZNF830,0.24620265
COPE,SCYL1,0.24711889
PRIM2,UBA2,0.24781746
NUBP1,ORAOV1,0.24830633
ATP5J2,CMAS,0.24937998
PWP1,TCOF1,0.2504447
GTF2H4,MINOS1-NBL1,0.25053924
CKAP5,METAP2,0.25076032
GFI1B,SNRPB,0.25132173
ROMO1,TAZ,0.25226372
EIF4G1,MRPL22,0.25367016
GINS4,METAP2,0.25461298
GINS4,NUP54,0.25725424
MRPL50,TIMELESS,0.25787735
CCNK,MED23,0.25901157
SSBP1,TAZ,0.25951558
CDK12,MED1,0.25974095
MASTL,TCOF1,0.2603292
ATP6AP1,MRPS21,0.26080292
MRPL36,TAZ,0.26110536
PSMD4,SSBP1,0.2618413
BOD1L1,MCM3AP,0.26308012
PHF5A,ZCCHC9,0.2641236
MRPL10,PGK1,0.26483685
CEP63,NAA50,0.2654913
FAM208A,NOP58,0.26560032
ATP1A1,MRPS11,0.2666378
PTTG1,RPL32,0.26829183
COX6C,MTBP,0.26995808
RPL27,TCOF1,0.27194166
