Gene1,Gene2,Error
TCF25,TUBGCP5,0.0093071405
MRPS21,SEH1L,0.020996837
MRPS30,NACA,0.02821113
ANKZF1,MRPL43,0.036305144
RFC4,RPL28,0.048404243
AATF,PPCS,0.051188078
BUB3,RAD51,0.05637098
MCM3,PITRM1,0.06458057
MRPL13,MRPS35,0.07400529
INTS3,PSMB7,0.08105827
FAM50A,FBXO28,0.08182887
CHMP2A,RPL28,0.090214044
CWC22,MZT1,0.101962626
GNPAT,RPL35,0.11799553
ELP4,GNPAT,0.1206015
FAM50A,NIP7,0.13002509
MRPS35,NSMCE1,0.13430132
NUP54,PTCD3,0.13728894
EIF4A1,RPL10,0.15221281
COPS4,EIF2B5,0.15789406
CCNK,MED28,0.15852913
MRPL32,NUP85,0.1722636
ASNA1,NIP7,0.17336197
GFER,MRPL33,0.17788629
DICER1,RFC4,0.1833034
MRPL32,TAF1,0.20238544
NOLC1,TIMM22,0.20655087
PPIE,PTCD3,0.21110784
RPS27A,SMC5,0.21618287
BUB3,SPAG7,0.21907759
DDX46,FIP1L1,0.22276278
ATP1A1,CDK1,0.23163322
LEO1,WDR61,0.23308355
FDPS,UBA2,0.23400247
RPL10,XRN2,0.2347309
MARS2,MFAP1,0.25269136
CDC40,SSBP1,0.2652202
NOLC1,ZNF598,0.26993597
AARS2,PET112,0.2720727
LIAS,PSMD4,0.28357014
PRIM2,YTHDC1,0.28574675
BNIP1,WDR61,0.2869848
ASCC3,NAT10,0.28827393
HUS1,UBA2,0.29419404
GTF2H4,LEO1,0.29565698
CDC27,WDR61,0.2970609
BNIP1,LEO1,0.29815513
CTNNBL1,GEMIN4,0.3059969
MED23,MTBP,0.30672726
LEO1,PDRG1,0.3095789
NUBP1,PPAT,0.31216952
COPS4,SMC5,0.3125562
CHMP2A,LEO1,0.31366473
RPS18,ZNRD1,0.31492776
ARL2,KIAA1731,0.31648862
LEO1,NAMPT,0.31650233
CTNNBL1,SDHC,0.32797348
EIF6,HUS1,0.33888352
GEMIN4,GTF2H4,0.34130317
MED14,MINOS1,0.34528196
CDK1,LEO1,0.3468995
ARL2,RPL11,0.3476509
COPS4,NUDC,0.35319233
EIF3H,EXOSC2,0.3532921
ARIH1,TIPIN,0.35514694
BNIP1,MED23,0.3570397
EIF6,Ltn1,0.35738248
DHODH,HUS1,0.3584261
PRIM2,UBA2,0.35890663
KDM1A,NDUFA9,0.35955817
CDC27,CENPW,0.3680398
CDK12,EXOSC2,0.3692097
EIF6,GNL3L,0.37249833
CENPW,SKA3,0.37554812
MED1,NUBP1,0.3763517
MED1,MED9,0.37792057
MED24,MINOS1,0.41028112
CDK1,MINOS1,0.41624296
CDK12,CHMP2A,0.41976815
SPDL1,TRA2B,0.42389905
MBTPS2,TOMM22,0.43968683
EIF3H,EXOSC6,0.4398492
POLE,SDHC,0.44720364
MED23,MINOS1-NBL1,0.46668547
C14orf2,TRNAU1AP,0.46838
MED1,MED24,0.47562367
METAP2,RPL36A,0.481386
PSMD4,SNAPC1,0.48627812
TRA2B,XRN2,0.48650837
DNTTIP2,PPP2R1A,0.48713782
CENPM,PET112,0.5033972
DDX18,DHODH,0.51089674
DUT,RPS28,0.5151615
RBBP8,UBA2,0.5152387
EIF3H,EIF4G2,0.5213297
MED1,PSMD4,0.5409722
MRPL27,PITRM1,0.5583669
GEMIN4,SNRPD3,0.5615549
FAM208A,MCM4,0.56267947
MINOS1,TUBGCP3,0.5752782
ACTR10,TCOF1,0.59322613
ARIH1,RPL10,0.5940032
NCAPD2,USE1,0.59673965
ACTR10,EIF4G1,0.6030362
CENPM,CEP192,0.61927134
CENPK,XRN2,0.62851226
CCDC84,RBM17,0.6405468
AURKA,SNRPB,0.6440323
CCNK,CHMP2A,0.6519536
GTF3C3,Ltn1,0.6520205
MRPS9,WDR61,0.660293
DUT,GEMIN2,0.66518587
PSMD4,SSBP1,0.6955818
FAM50A,RPL30,0.7109282
MRPL42,PGK1,0.74640036
MED24,MRPL36,0.7587869
CWC22,FAM50A,0.77975047
MED24,MRPL24,0.83369523
CEP192,SEH1L,0.84068173
MED24,SEH1L,0.8697595
GTPBP4,RPP30,0.9311675
ASCC3,RPLP1,0.933086
