id,unique_genes
49128,BNIP1
49201,CENPM
49469,NOL10
49617,SAP18
49667,NAMPT
50015,MRPL43
50042,ERH
50054,LIAS
50104,MRPL24
50227,UBA3
50394,MED1
50490,TCOF1
50528,EIF4G1
50668,UMPS
50805,EIF3D
50820,POLD1
50879,COA3
51050,PSMC1
51547,MRPS25
51580,CDC23
51805,OPA1
51828,NOP58
51885,DDX18
51941,NDUFB4
52003,PPCS
52026,MRPL37
52049,POLA1
52173,CNOT1
52387,MRPL36
52444,SYVN1
52511,SSBP1
52516,GINS4
52919,NUP54
52962,CCT8
53066,CDC40
53265,RAE1
53353,DLST
53365,ADPRM
53423,MRPL16
53663,FBXO28
53870,TRRAP
