Gene1,Gene2,Error
MRPL32,NUP85,0.016322518
MRPS21,SEH1L,0.027350655
TCF25,TUBGCP5,0.031068403
MRPL13,MRPS35,0.045251187
LIAS,PSMD4,0.04739327
NUP54,PTCD3,0.04964645
CHMP2A,RPL28,0.05061306
AATF,PPCS,0.053253707
NOLC1,TIMM22,0.056450844
RFC4,RPL28,0.070272066
BUB3,RAD51,0.07514837
CCNK,MED28,0.07845734
ELP4,GNPAT,0.081017606
LEO1,WDR61,0.08508754
BUB3,SPAG7,0.0877503
PPIE,PTCD3,0.09966094
CWC22,MZT1,0.10994233
MARS2,MFAP1,0.13647933
BNIP1,WDR61,0.1443643
MRPS35,NSMCE1,0.14488532
FDPS,UBA2,0.14920694
CDC27,WDR61,0.15231276
BNIP1,LEO1,0.15889782
CDC40,SSBP1,0.16285188
LEO1,PDRG1,0.16663706
GTF2H4,LEO1,0.16681004
NUBP1,PPAT,0.16707523
ANKZF1,MRPL43,0.17117195
RPS18,ZNRD1,0.1935981
DDX46,FIP1L1,0.19679786
MRPS30,NACA,0.1983246
ARL2,KIAA1731,0.21184337
MRPL32,TAF1,0.21218915
PRIM2,YTHDC1,0.21446013
CTNNBL1,GEMIN4,0.21817183
HUS1,UBA2,0.21915317
CDK1,LEO1,0.21997207
MED14,MINOS1,0.22303045
NOLC1,ZNF598,0.2245364
CHMP2A,LEO1,0.22591901
BNIP1,MED23,0.2328341
DICER1,RFC4,0.23991378
EIF4A1,RPL10,0.24930635
GNPAT,RPL35,0.25361407
MCM3,PITRM1,0.2641328
GEMIN4,GTF2H4,0.26535416
CDC27,CENPW,0.26592833
KDM1A,NDUFA9,0.26658666
CENPW,SKA3,0.26870775
LEO1,NAMPT,0.26896673
EIF6,HUS1,0.2696541
MED1,MED9,0.2711255
ASNA1,NIP7,0.27346423
ARL2,RPL11,0.27431887
COPS4,SMC5,0.2753396
CTNNBL1,SDHC,0.27716327
EIF3H,EXOSC6,0.28709447
ASCC3,NAT10,0.28906944
MED1,NUBP1,0.29259878
MED24,MINOS1,0.2998523
FAM50A,NIP7,0.30259368
DHODH,HUS1,0.30590475
PRIM2,UBA2,0.30694103
AARS2,PET112,0.30848458
MINOS1,TUBGCP3,0.30897406
MED23,MINOS1-NBL1,0.31562442
COPS4,NUDC,0.31683022
EIF3H,EXOSC2,0.31707305
CDK12,EXOSC2,0.3273189
COPS4,EIF2B5,0.3286352
EIF6,GNL3L,0.32964742
MED1,MED24,0.33498293
CDK1,MINOS1,0.33864272
SPDL1,TRA2B,0.33913684
RPL10,XRN2,0.3414055
MBTPS2,TOMM22,0.34258628
ATP1A1,CDK1,0.3477755
EIF6,Ltn1,0.35004056
FAM208A,MCM4,0.35656735
DNTTIP2,PPP2R1A,0.3613522
POLE,SDHC,0.4045424
TRA2B,XRN2,0.4071262
FAM50A,FBXO28,0.42923173
INTS3,PSMB7,0.42953807
FAM50A,RPL30,0.44748956
MED23,MTBP,0.45259434
MRPL42,PGK1,0.45378476
RPS27A,SMC5,0.46929774
METAP2,RPL36A,0.46943903
ARIH1,TIPIN,0.4819305
DUT,RPS28,0.5087568
CENPM,PET112,0.52552277
ACTR10,EIF4G1,0.5455746
MRPL27,PITRM1,0.5477415
CWC22,FAM50A,0.5958713
C14orf2,TRNAU1AP,0.60398537
DDX18,DHODH,0.61248875
GTF3C3,Ltn1,0.6459946
CENPM,CEP192,0.65189475
ACTR10,TCOF1,0.6586168
ARIH1,RPL10,0.6586836
GFER,MRPL33,0.6701361
MED1,PSMD4,0.6798521
AURKA,SNRPB,0.6819836
CENPK,XRN2,0.6840394
MED24,MRPL24,0.6934148
DUT,GEMIN2,0.72606826
RBBP8,UBA2,0.7340665
MRPS9,WDR61,0.7397834
PSMD4,SNAPC1,0.74440914
EIF3H,EIF4G2,0.7447031
NCAPD2,USE1,0.76783323
CCDC84,RBM17,0.7722597
CEP192,SEH1L,0.79329723
CDK12,CHMP2A,0.7990216
MED24,SEH1L,0.80199504
PSMD4,SSBP1,0.80312663
GEMIN4,SNRPD3,0.8033501
CCNK,CHMP2A,0.80369973
MED24,MRPL36,0.8616229
ASCC3,RPLP1,0.9126529
GTPBP4,RPP30,0.95291257
