Gene1,Gene2,Error
LEO1,WDR61,0.058053017
ELP4,GNPAT,0.07972969
BUB3,RAD51,0.07977893
MRPS21,SEH1L,0.08995956
FDPS,UBA2,0.10064846
MRPL13,MRPS35,0.11441116
MRPS30,NACA,0.11822707
CDC27,WDR61,0.11884779
BNIP1,WDR61,0.12450564
BNIP1,LEO1,0.12703788
LEO1,PDRG1,0.12821764
NUBP1,PPAT,0.1323292
GTF2H4,LEO1,0.13438565
ARL2,KIAA1731,0.1479299
TCF25,TUBGCP5,0.14866595
NUP54,PTCD3,0.15225306
MRPS35,NSMCE1,0.15947549
RFC4,RPL28,0.16631618
LIAS,PSMD4,0.16657606
HUS1,UBA2,0.16668558
CHMP2A,LEO1,0.17111361
NOLC1,TIMM22,0.17148678
CCNK,MED28,0.17455144
CDK1,LEO1,0.17489487
COPS4,EIF2B5,0.17793947
PPIE,PTCD3,0.17861877
CHMP2A,RPL28,0.18013272
FAM50A,FBXO28,0.1817862
AATF,PPCS,0.19114898
KDM1A,NDUFA9,0.19299251
MRPL32,NUP85,0.20070687
MED14,MINOS1,0.2069459
CTNNBL1,GEMIN4,0.2084837
LEO1,NAMPT,0.2101562
EIF6,HUS1,0.21499377
GNPAT,RPL35,0.21581176
ASNA1,NIP7,0.22011305
MARS2,MFAP1,0.2203454
FAM50A,NIP7,0.22297977
MRPL32,TAF1,0.22560176
NOLC1,ZNF598,0.22676046
ARL2,RPL11,0.22770357
CENPW,SKA3,0.23296678
CTNNBL1,SDHC,0.23666191
DHODH,HUS1,0.23834622
ASCC3,NAT10,0.24177678
BNIP1,MED23,0.24555254
CDC27,CENPW,0.24613863
TRA2B,XRN2,0.2567929
MCM3,PITRM1,0.25969085
COPS4,NUDC,0.26697707
EIF4A1,RPL10,0.26860014
ATP1A1,CDK1,0.27123705
COPS4,SMC5,0.27447617
DICER1,RFC4,0.2751172
PRIM2,YTHDC1,0.27583092
MED1,NUBP1,0.2817033
MED1,MED9,0.28400385
EIF3H,EXOSC2,0.2918597
PRIM2,UBA2,0.2939945
MBTPS2,TOMM22,0.30140102
INTS3,PSMB7,0.30416363
CDC40,SSBP1,0.30524084
CWC22,MZT1,0.307771
BUB3,SPAG7,0.308401
ANKZF1,MRPL43,0.30872354
MED24,MINOS1,0.31211835
DUT,RPS28,0.31463584
CDK1,MINOS1,0.31919718
EIF6,GNL3L,0.33146197
GEMIN4,GTF2H4,0.33568484
RPS27A,SMC5,0.3368533
RPS18,ZNRD1,0.34102583
MED23,MINOS1-NBL1,0.34850246
AARS2,PET112,0.3531028
SPDL1,TRA2B,0.36069405
RPL10,XRN2,0.36825225
DDX46,FIP1L1,0.38633665
POLE,SDHC,0.38850304
CDK12,EXOSC2,0.39386743
MED1,MED24,0.39432287
ARIH1,TIPIN,0.4057662
EIF3H,EXOSC6,0.41518414
GTF3C3,Ltn1,0.4216379
FAM208A,MCM4,0.43308854
CWC22,FAM50A,0.4392168
EIF6,Ltn1,0.4433949
RBBP8,UBA2,0.44611865
DNTTIP2,PPP2R1A,0.48386562
MINOS1,TUBGCP3,0.4990216
GFER,MRPL33,0.5156076
CENPM,PET112,0.5262475
FAM50A,RPL30,0.5488652
METAP2,RPL36A,0.5596928
MRPL27,PITRM1,0.56894964
DDX18,DHODH,0.5902608
MED24,MRPL24,0.59208107
C14orf2,TRNAU1AP,0.59778166
MED23,MTBP,0.5998002
DUT,GEMIN2,0.64065945
ARIH1,RPL10,0.64421403
CCNK,CHMP2A,0.6482506
MRPL42,PGK1,0.6514139
ACTR10,EIF4G1,0.65894437
MED24,MRPL36,0.6710317
CENPM,CEP192,0.6805825
MED1,PSMD4,0.6881046
EIF3H,EIF4G2,0.6907708
CDK12,CHMP2A,0.7089989
GEMIN4,SNRPD3,0.71346164
AURKA,SNRPB,0.7142863
CEP192,SEH1L,0.7194871
PSMD4,SNAPC1,0.7270995
ACTR10,TCOF1,0.7281974
MED24,SEH1L,0.7535912
CENPK,XRN2,0.76528895
CCDC84,RBM17,0.7689919
PSMD4,SSBP1,0.77358055
ASCC3,RPLP1,0.7921263
NCAPD2,USE1,0.8059511
MRPS9,WDR61,0.8314163
GTPBP4,RPP30,0.8850513
