Gene1,Gene2,Error
LEO1,WDR61,0.009555161
TCF25,TUBGCP5,0.022744646
MRPS21,SEH1L,0.027420709
FDPS,UBA2,0.028589547
AATF,PPCS,0.029340783
NOLC1,TIMM22,0.031000093
MRPL13,MRPS35,0.034106676
BNIP1,WDR61,0.035181105
BUB3,RAD51,0.03591568
BUB3,SPAG7,0.041351218
BNIP1,LEO1,0.042650342
CDC27,WDR61,0.042699277
GTF2H4,LEO1,0.044988155
NUP54,PTCD3,0.04794704
ANKZF1,MRPL43,0.060087807
ELP4,GNPAT,0.061553545
HUS1,UBA2,0.071147025
RFC4,RPL28,0.07232382
MRPS35,NSMCE1,0.07880847
MRPL32,NUP85,0.07911319
RPS18,ZNRD1,0.08412234
DDX46,FIP1L1,0.09197077
CHMP2A,LEO1,0.092404366
CTNNBL1,GEMIN4,0.09543884
CCNK,MED28,0.09706204
CHMP2A,RPL28,0.09708562
CWC22,MZT1,0.097747505
LEO1,PDRG1,0.09834379
ARL2,KIAA1731,0.099154055
MCM3,PITRM1,0.10222716
CDK1,LEO1,0.10285461
ASCC3,NAT10,0.10313782
MARS2,MFAP1,0.103575215
INTS3,PSMB7,0.11479901
COPS4,EIF2B5,0.119427
CDC40,SSBP1,0.121048644
MED14,MINOS1,0.121123314
BNIP1,MED23,0.1217345
NOLC1,ZNF598,0.1318905
CTNNBL1,SDHC,0.13348818
LIAS,PSMD4,0.14082384
FAM50A,NIP7,0.14194883
ASNA1,NIP7,0.14428855
AARS2,PET112,0.14631331
PPIE,PTCD3,0.14796174
DHODH,HUS1,0.15889162
CENPW,SKA3,0.15931827
MED1,MED9,0.16009152
EIF6,HUS1,0.1621136
MED1,NUBP1,0.16678095
MBTPS2,TOMM22,0.17545724
PRIM2,YTHDC1,0.1759337
CDC27,CENPW,0.17670995
KDM1A,NDUFA9,0.1773147
EIF4A1,RPL10,0.17849937
DICER1,RFC4,0.17958122
MRPL32,TAF1,0.18114032
MRPS30,NACA,0.18446693
FAM50A,FBXO28,0.1853956
GEMIN4,GTF2H4,0.1884256
ARL2,RPL11,0.19231975
DUT,RPS28,0.19271782
EIF3H,EXOSC2,0.19282097
TRA2B,XRN2,0.19680917
ATP1A1,CDK1,0.19763117
RPS27A,SMC5,0.20281188
PRIM2,UBA2,0.21471703
CDK12,EXOSC2,0.22233933
MED24,MINOS1,0.22765684
EIF3H,EXOSC6,0.22770078
MED23,MINOS1-NBL1,0.25038826
MED1,MED24,0.26027846
EIF6,Ltn1,0.26430213
CDK1,MINOS1,0.26781338
EIF6,GNL3L,0.27901685
FAM208A,MCM4,0.29186893
MED23,MTBP,0.3030568
COPS4,SMC5,0.3030836
DNTTIP2,PPP2R1A,0.30937335
GNPAT,RPL35,0.31705335
POLE,SDHC,0.35188833
ARIH1,TIPIN,0.35449338
CWC22,FAM50A,0.37647676
SPDL1,TRA2B,0.3878312
METAP2,RPL36A,0.42968613
COPS4,NUDC,0.43139
RPL10,XRN2,0.44796112
FAM50A,RPL30,0.47071463
MED1,PSMD4,0.6208843
MINOS1,TUBGCP3,0.6234928
NUBP1,PPAT,0.63911104
C14orf2,TRNAU1AP,0.6630927
CDK12,CHMP2A,0.6644577
ARIH1,RPL10,0.6719108
MRPL27,PITRM1,0.6762099
CENPM,PET112,0.6834443
GFER,MRPL33,0.7105788
AURKA,SNRPB,0.715999
PSMD4,SNAPC1,0.72515047
LEO1,NAMPT,0.72960794
ACTR10,EIF4G1,0.7345388
MRPL42,PGK1,0.73798996
MED24,MRPL36,0.7438786
DDX18,DHODH,0.7555916
ACTR10,TCOF1,0.7695701
NCAPD2,USE1,0.7899681
CCNK,CHMP2A,0.80073065
CENPM,CEP192,0.8061541
PSMD4,SSBP1,0.8080066
GTF3C3,Ltn1,0.8183401
RBBP8,UBA2,0.81945497
GEMIN4,SNRPD3,0.8237665
CCDC84,RBM17,0.8276876
MED24,MRPL24,0.83793813
DUT,GEMIN2,0.8409107
CENPK,XRN2,0.84839
MRPS9,WDR61,0.8559361
EIF3H,EIF4G2,0.869541
CEP192,SEH1L,0.89168423
MED24,SEH1L,0.89517444
GTPBP4,RPP30,0.92064446
ASCC3,RPLP1,0.9578403
