Gene1,Gene2,Error
LEO1,WDR61,0.0120382905
BNIP1,WDR61,0.039767087
CDC27,WDR61,0.04274988
BNIP1,LEO1,0.045119286
FDPS,UBA2,0.056258976
LEO1,PDRG1,0.058648825
GTF2H4,LEO1,0.064879715
BUB3,RAD51,0.083714895
ARL2,KIAA1731,0.10141659
HUS1,UBA2,0.10817981
TCF25,TUBGCP5,0.112366766
MRPS21,SEH1L,0.11394734
CHMP2A,LEO1,0.11397809
CDK1,LEO1,0.11828858
AATF,PPCS,0.14778137
ELP4,GNPAT,0.15038109
BNIP1,MED23,0.15141279
MRPL13,MRPS35,0.15467453
NOLC1,TIMM22,0.16326384
CTNNBL1,GEMIN4,0.1661396
CTNNBL1,SDHC,0.16877222
NUP54,PTCD3,0.16953689
RFC4,RPL28,0.1702496
EIF6,HUS1,0.17302197
MED14,MINOS1,0.17764008
CDC27,CENPW,0.18368977
LIAS,PSMD4,0.1862158
NUBP1,PPAT,0.18827952
MRPS30,NACA,0.18882325
BUB3,SPAG7,0.18985347
CENPW,SKA3,0.19009072
PPIE,PTCD3,0.19292521
COPS4,SMC5,0.20005614
MRPS35,NSMCE1,0.20328201
TRA2B,XRN2,0.20429122
ASCC3,NAT10,0.2077151
COPS4,NUDC,0.21047074
EIF3H,EXOSC2,0.21297997
CCNK,MED28,0.2158043
EIF4A1,RPL10,0.21832065
CHMP2A,RPL28,0.22534935
MED1,MED9,0.22964537
KDM1A,NDUFA9,0.23222262
DDX46,FIP1L1,0.23914321
ANKZF1,MRPL43,0.23926981
CWC22,MZT1,0.24353112
MCM3,PITRM1,0.24624324
DHODH,HUS1,0.24782431
PRIM2,UBA2,0.25052494
FAM50A,FBXO28,0.2516261
MRPL32,NUP85,0.2527933
ASNA1,NIP7,0.25399962
RPS18,ZNRD1,0.256235
FAM50A,NIP7,0.25656453
ARL2,RPL11,0.25697345
MED24,MINOS1,0.25705206
DICER1,RFC4,0.26309648
MRPL32,TAF1,0.26527217
NOLC1,ZNF598,0.2719226
INTS3,PSMB7,0.2757885
ARIH1,TIPIN,0.27754557
CDC40,SSBP1,0.28106803
ATP1A1,CDK1,0.29458487
GNPAT,RPL35,0.29522106
EIF6,GNL3L,0.29540145
MARS2,MFAP1,0.2967376
CDK12,EXOSC2,0.2981202
GEMIN4,GTF2H4,0.3043784
MED1,NUBP1,0.31170255
EIF3H,EXOSC6,0.3131954
RPS27A,SMC5,0.31433293
MED23,MINOS1-NBL1,0.31547964
SPDL1,TRA2B,0.3174976
CDK1,MINOS1,0.34400755
AARS2,PET112,0.3603108
PRIM2,YTHDC1,0.3614293
MED1,MED24,0.3697077
MBTPS2,TOMM22,0.3728413
RBBP8,UBA2,0.37787288
POLE,SDHC,0.38438475
FAM208A,MCM4,0.39545462
EIF6,Ltn1,0.4050532
DNTTIP2,PPP2R1A,0.4201343
COPS4,EIF2B5,0.4511328
FAM50A,RPL30,0.48625076
MED23,MTBP,0.49276683
DDX18,DHODH,0.50252044
CWC22,FAM50A,0.50866866
ARIH1,RPL10,0.53512985
RPL10,XRN2,0.54842573
CENPM,PET112,0.5574217
MRPL27,PITRM1,0.58446103
LEO1,NAMPT,0.59119743
GFER,MRPL33,0.59507686
C14orf2,TRNAU1AP,0.6155976
DUT,RPS28,0.6247748
METAP2,RPL36A,0.62558734
EIF3H,EIF4G2,0.65080893
CDK12,CHMP2A,0.6508384
GTF3C3,Ltn1,0.6644457
CCNK,CHMP2A,0.6682807
ACTR10,EIF4G1,0.6855657
MRPL42,PGK1,0.68675005
MED24,MRPL24,0.69428927
ASCC3,RPLP1,0.7053236
GEMIN4,SNRPD3,0.7086071
MINOS1,TUBGCP3,0.7129637
MED1,PSMD4,0.7152325
CCDC84,RBM17,0.7175777
MED24,MRPL36,0.7195945
NCAPD2,USE1,0.72192395
CENPM,CEP192,0.7311643
PSMD4,SNAPC1,0.73539865
CEP192,SEH1L,0.7420987
MED24,SEH1L,0.7445781
ACTR10,TCOF1,0.74959344
AURKA,SNRPB,0.75167924
PSMD4,SSBP1,0.76546526
DUT,GEMIN2,0.76728725
GTPBP4,RPP30,0.7880748
MRPS9,WDR61,0.85799396
CENPK,XRN2,0.8597955
