Gene1,Gene2,Error
LEO1,WDR61,0.0013320446
BNIP1,WDR61,0.011774898
FDPS,UBA2,0.012274563
CDC27,WDR61,0.013418913
BNIP1,LEO1,0.014213681
GTF2H4,LEO1,0.016792893
LEO1,PDRG1,0.023447573
HUS1,UBA2,0.04075575
CDK1,LEO1,0.05559653
CTNNBL1,GEMIN4,0.06337106
ARL2,KIAA1731,0.06705421
MRPS21,SEH1L,0.08251161
BNIP1,MED23,0.0898056
AATF,PPCS,0.09412304
CTNNBL1,SDHC,0.09520644
MED14,MINOS1,0.098897696
EIF3H,EXOSC2,0.10918385
CENPW,SKA3,0.12083447
BUB3,RAD51,0.12415366
NUP54,PTCD3,0.12587404
ANKZF1,MRPL43,0.1273367
NUBP1,PPAT,0.12817247
EIF6,HUS1,0.13012475
ASCC3,NAT10,0.13134098
CHMP2A,RPL28,0.13299932
TCF25,TUBGCP5,0.13942528
BUB3,SPAG7,0.14760424
LIAS,PSMD4,0.15114409
GEMIN4,GTF2H4,0.1548891
CDC27,CENPW,0.15552777
PPIE,PTCD3,0.15601192
RFC4,RPL28,0.15746017
COPS4,EIF2B5,0.15781617
ARL2,RPL11,0.15810686
DHODH,HUS1,0.16139984
MED24,MINOS1,0.16200417
MRPL32,NUP85,0.16383055
INTS3,PSMB7,0.16408648
FAM50A,FBXO28,0.1653147
CHMP2A,LEO1,0.16858113
TRA2B,XRN2,0.17109418
MRPS30,NACA,0.17922354
ASNA1,NIP7,0.18238594
MRPL13,MRPS35,0.18503806
MARS2,MFAP1,0.18898721
MED1,MED9,0.19255513
CDK12,EXOSC2,0.19304615
PRIM2,UBA2,0.19541997
KDM1A,NDUFA9,0.19563764
PRIM2,YTHDC1,0.19932675
FAM50A,NIP7,0.20036274
NOLC1,TIMM22,0.20842656
RPS18,ZNRD1,0.20944703
LEO1,NAMPT,0.21180737
MRPS35,NSMCE1,0.21472517
ELP4,GNPAT,0.21669395
CWC22,MZT1,0.21767445
MCM3,PITRM1,0.22408459
MED1,NUBP1,0.22997355
DICER1,RFC4,0.23019369
EIF4A1,RPL10,0.23045702
CCNK,MED28,0.23748554
ARIH1,TIPIN,0.24067575
CDK1,MINOS1,0.24195027
MBTPS2,TOMM22,0.24366057
EIF3H,EXOSC6,0.24421206
MRPL32,TAF1,0.24658765
SPDL1,TRA2B,0.25359857
COPS4,SMC5,0.2557001
CDC40,SSBP1,0.2581948
DUT,RPS28,0.25903127
RPS27A,SMC5,0.2742619
ATP1A1,CDK1,0.28331998
EIF6,Ltn1,0.28750044
GNPAT,RPL35,0.30160302
MED23,MINOS1-NBL1,0.30599934
DDX46,FIP1L1,0.31891447
NOLC1,ZNF598,0.32987422
AARS2,PET112,0.33035156
DNTTIP2,PPP2R1A,0.34258497
FAM208A,MCM4,0.35274625
EIF6,GNL3L,0.3724823
CWC22,FAM50A,0.4086548
DDX18,DHODH,0.43177554
MED1,MED24,0.44028956
RPL10,XRN2,0.46195298
MED23,MTBP,0.48051488
CENPM,PET112,0.5223702
POLE,SDHC,0.5369232
COPS4,NUDC,0.5378588
FAM50A,RPL30,0.5504712
ARIH1,RPL10,0.5601246
C14orf2,TRNAU1AP,0.57953185
MRPL42,PGK1,0.6240827
METAP2,RPL36A,0.64521897
MINOS1,TUBGCP3,0.67324424
AURKA,SNRPB,0.68462974
MED24,MRPL24,0.70245576
MRPL27,PITRM1,0.7141691
RBBP8,UBA2,0.71678907
CCDC84,RBM17,0.7227471
PSMD4,SNAPC1,0.73397815
CENPM,CEP192,0.73864627
MED1,PSMD4,0.73895204
GEMIN4,SNRPD3,0.7545713
MED24,MRPL36,0.75811756
MED24,SEH1L,0.759761
PSMD4,SSBP1,0.76202166
ACTR10,TCOF1,0.77275914
CEP192,SEH1L,0.7739429
NCAPD2,USE1,0.7756594
CDK12,CHMP2A,0.7846974
ACTR10,EIF4G1,0.7909457
GFER,MRPL33,0.79515976
EIF3H,EIF4G2,0.8023996
CCNK,CHMP2A,0.805863
GTF3C3,Ltn1,0.83437896
DUT,GEMIN2,0.8376629
MRPS9,WDR61,0.8421838
CENPK,XRN2,0.86773825
GTPBP4,RPP30,0.8970258
ASCC3,RPLP1,0.92258
