Gene1,Gene2,Error
LEO1,WDR61,0.00432837
BNIP1,WDR61,0.01733017
BNIP1,LEO1,0.017936587
CDC27,WDR61,0.021917224
GTF2H4,LEO1,0.03324181
LEO1,PDRG1,0.035553634
FDPS,UBA2,0.037820816
BNIP1,MED23,0.06319797
CDK1,LEO1,0.07192874
CHMP2A,LEO1,0.072033346
ARL2,KIAA1731,0.07629818
HUS1,UBA2,0.081118405
CTNNBL1,GEMIN4,0.08686769
MED14,MINOS1,0.09180862
CTNNBL1,SDHC,0.122445285
KDM1A,NDUFA9,0.12518364
CENPW,SKA3,0.13070148
EIF6,HUS1,0.13675779
CDC27,CENPW,0.1398772
MED1,MED9,0.1399253
NUP54,PTCD3,0.14952113
EIF3H,EXOSC2,0.16072029
LEO1,NAMPT,0.1685102
ARL2,RPL11,0.1701194
MRPS21,SEH1L,0.17574188
DHODH,HUS1,0.18656152
GEMIN4,GTF2H4,0.18725961
BUB3,SPAG7,0.19258103
RFC4,RPL28,0.20131844
TCF25,TUBGCP5,0.202428
INTS3,PSMB7,0.20597838
NOLC1,TIMM22,0.2093943
CHMP2A,RPL28,0.21278971
MED1,NUBP1,0.21732539
MRPS35,NSMCE1,0.21890682
MED24,MINOS1,0.22153527
MRPS30,NACA,0.22350945
MED23,MINOS1-NBL1,0.22494477
TRA2B,XRN2,0.22591245
MRPL32,NUP85,0.23059936
BUB3,RAD51,0.23202875
MARS2,MFAP1,0.23380977
MRPL13,MRPS35,0.23678868
MCM3,PITRM1,0.23788454
RPS18,ZNRD1,0.23826218
LIAS,PSMD4,0.23978528
AATF,PPCS,0.24359189
PPIE,PTCD3,0.24700598
ANKZF1,MRPL43,0.24805832
ASCC3,NAT10,0.25054708
MBTPS2,TOMM22,0.2540586
CCNK,MED28,0.2558395
NUBP1,PPAT,0.26010203
EIF6,GNL3L,0.2615347
COPS4,SMC5,0.26331007
PRIM2,UBA2,0.26535332
CDK12,EXOSC2,0.26610756
CDK1,MINOS1,0.26896316
FAM50A,FBXO28,0.2739539
EIF4A1,RPL10,0.2761141
MED1,MED24,0.29463243
CWC22,MZT1,0.29611024
MRPL32,TAF1,0.30264187
SPDL1,TRA2B,0.30663592
DICER1,RFC4,0.30717617
ELP4,GNPAT,0.30853114
PRIM2,YTHDC1,0.32006636
GNPAT,RPL35,0.32241392
COPS4,NUDC,0.33125073
ASNA1,NIP7,0.3313416
ATP1A1,CDK1,0.33711132
GTF3C3,Ltn1,0.3394116
DDX46,FIP1L1,0.33957484
RPS27A,SMC5,0.34222817
FAM50A,NIP7,0.3424522
AARS2,PET112,0.34452018
RPL10,XRN2,0.34471315
DNTTIP2,PPP2R1A,0.35931832
EIF3H,EXOSC6,0.36534467
FAM208A,MCM4,0.36701506
CDC40,SSBP1,0.36977652
DUT,RPS28,0.38310072
NOLC1,ZNF598,0.38429978
MINOS1,TUBGCP3,0.38736755
ARIH1,TIPIN,0.41086876
POLE,SDHC,0.43174455
CWC22,FAM50A,0.45162588
METAP2,RPL36A,0.5003607
DDX18,DHODH,0.5091688
EIF6,Ltn1,0.5098163
CENPM,PET112,0.5373633
MED23,MTBP,0.55013627
FAM50A,RPL30,0.55017656
MRPL42,PGK1,0.59207356
C14orf2,TRNAU1AP,0.6013247
RBBP8,UBA2,0.6195527
MRPL27,PITRM1,0.62451214
ARIH1,RPL10,0.63259315
MED24,MRPL36,0.63890123
MED24,MRPL24,0.65365636
GEMIN4,SNRPD3,0.65734124
EIF3H,EIF4G2,0.66057163
PSMD4,SNAPC1,0.66189194
CEP192,SEH1L,0.66351485
CDK12,CHMP2A,0.6667928
NCAPD2,USE1,0.67566407
CCDC84,RBM17,0.676821
COPS4,EIF2B5,0.6781925
MED24,SEH1L,0.6788751
MED1,PSMD4,0.6894213
PSMD4,SSBP1,0.69578135
CCNK,CHMP2A,0.7224014
ACTR10,TCOF1,0.75565565
CENPM,CEP192,0.7692078
GFER,MRPL33,0.77263194
ACTR10,EIF4G1,0.774757
DUT,GEMIN2,0.7776916
AURKA,SNRPB,0.77956724
ASCC3,RPLP1,0.78871644
GTPBP4,RPP30,0.7958449
CENPK,XRN2,0.8172358
MRPS9,WDR61,0.88248456
