Gene1,Gene2,Error
ELP4,GNPAT,0.03803916
RFC4,RPL28,0.044811152
TCF25,TUBGCP5,0.04953821
NOLC1,TIMM22,0.0516722
AATF,PPCS,0.073346004
LIAS,PSMD4,0.08150993
ANKZF1,MRPL43,0.08490647
MRPS30,NACA,0.08953723
LEO1,WDR61,0.090994895
MRPL32,NUP85,0.09457769
MRPS21,SEH1L,0.09654372
BUB3,SPAG7,0.10232617
FAM50A,FBXO28,0.11144775
MRPL13,MRPS35,0.112802565
NUP54,PTCD3,0.11449654
INTS3,PSMB7,0.11746255
NUBP1,PPAT,0.11875037
CHMP2A,RPL28,0.11893844
BUB3,RAD51,0.12462732
ASCC3,NAT10,0.12712182
FDPS,UBA2,0.13966161
MRPL32,TAF1,0.15412152
CCNK,MED28,0.1544723
CDC27,WDR61,0.15677625
BNIP1,WDR61,0.1570481
LEO1,PDRG1,0.15985823
EIF4A1,RPL10,0.16163935
CWC22,MZT1,0.16795751
GTF2H4,LEO1,0.16798264
BNIP1,LEO1,0.17399561
DICER1,RFC4,0.18627632
CHMP2A,LEO1,0.19196492
RPS18,ZNRD1,0.1951033
HUS1,UBA2,0.19604683
NOLC1,ZNF598,0.19924727
CDK1,LEO1,0.21035999
PRIM2,YTHDC1,0.21776953
MCM3,PITRM1,0.21990138
ARL2,KIAA1731,0.22135407
MRPS35,NSMCE1,0.2216665
GNPAT,RPL35,0.22536577
PPIE,PTCD3,0.22560737
RPS27A,SMC5,0.22977956
CTNNBL1,GEMIN4,0.24384749
KDM1A,NDUFA9,0.24728858
MED14,MINOS1,0.24766743
DHODH,HUS1,0.26669544
BNIP1,MED23,0.2680192
MARS2,MFAP1,0.26825184
CENPW,SKA3,0.26926863
DUT,RPS28,0.27008554
COPS4,EIF2B5,0.27108532
EIF6,HUS1,0.27612978
CTNNBL1,SDHC,0.27682275
FAM208A,MCM4,0.27869698
PRIM2,UBA2,0.28033894
TRA2B,XRN2,0.2813357
ASNA1,NIP7,0.28319237
CDC27,CENPW,0.28498328
FAM50A,NIP7,0.28631538
ARIH1,TIPIN,0.29143363
MED1,NUBP1,0.29375345
MED24,MINOS1,0.29376847
MED23,MTBP,0.29469544
COPS4,NUDC,0.30018395
EIF3H,EXOSC6,0.30036366
MED1,MED9,0.30118793
GEMIN4,GTF2H4,0.30197144
CDK1,MINOS1,0.30616915
COPS4,SMC5,0.3079663
ARL2,RPL11,0.30819404
RPL10,XRN2,0.32491043
EIF3H,EXOSC2,0.3254103
SPDL1,TRA2B,0.32872647
MBTPS2,TOMM22,0.33179832
ATP1A1,CDK1,0.3351579
DDX46,FIP1L1,0.33671203
RBBP8,UBA2,0.33709115
CDC40,SSBP1,0.34342957
MED23,MINOS1-NBL1,0.35408866
POLE,SDHC,0.35767135
MED1,MED24,0.37021226
EIF6,GNL3L,0.38278496
AARS2,PET112,0.3930163
CDK12,EXOSC2,0.43334013
DNTTIP2,PPP2R1A,0.4480936
EIF6,Ltn1,0.5178046
CWC22,FAM50A,0.5369915
ARIH1,RPL10,0.54501224
METAP2,RPL36A,0.54567367
C14orf2,TRNAU1AP,0.5642442
MED24,MRPL24,0.5775823
FAM50A,RPL30,0.57940984
GFER,MRPL33,0.58941835
CENPM,PET112,0.59373116
MINOS1,TUBGCP3,0.59677434
ACTR10,EIF4G1,0.6202008
EIF3H,EIF4G2,0.62595904
GTF3C3,Ltn1,0.64253855
MRPL27,PITRM1,0.64463437
CENPM,CEP192,0.66747403
MRPL42,PGK1,0.6772611
AURKA,SNRPB,0.67732376
DDX18,DHODH,0.680973
CEP192,SEH1L,0.6923383
DUT,GEMIN2,0.6965001
CDK12,CHMP2A,0.70412445
MED24,SEH1L,0.710202
ACTR10,TCOF1,0.7188992
CENPK,XRN2,0.72042996
CCNK,CHMP2A,0.7497901
GEMIN4,SNRPD3,0.76884913
LEO1,NAMPT,0.7703278
CCDC84,RBM17,0.7931417
MED24,MRPL36,0.79411906
MRPS9,WDR61,0.8121948
NCAPD2,USE1,0.8129308
PSMD4,SNAPC1,0.82486343
MED1,PSMD4,0.8258228
PSMD4,SSBP1,0.871184
GTPBP4,RPP30,0.90623206
ASCC3,RPLP1,0.9234845
