Gene1,Gene2,Error
LEO1,WDR61,0.00013697147
FDPS,UBA2,0.001251936
BNIP1,WDR61,0.0026572347
GTF2H4,LEO1,0.0027893186
CDC27,WDR61,0.0028871298
BNIP1,LEO1,0.0031356215
HUS1,UBA2,0.006963551
LEO1,PDRG1,0.01235944
ARL2,KIAA1731,0.017288268
CTNNBL1,GEMIN4,0.019301116
MED14,MINOS1,0.02902484
CDK1,LEO1,0.031184494
BNIP1,MED23,0.04042387
DHODH,HUS1,0.040557504
GEMIN4,GTF2H4,0.0434314
CTNNBL1,SDHC,0.04354465
CHMP2A,LEO1,0.043611586
EIF6,HUS1,0.04523295
EIF3H,EXOSC2,0.045292377
CENPW,SKA3,0.06092286
CDC27,CENPW,0.07214993
KDM1A,NDUFA9,0.07376391
ARL2,RPL11,0.07713252
MED1,MED9,0.084093034
MBTPS2,TOMM22,0.10391992
MRPL13,MRPS35,0.12446452
MED24,MINOS1,0.13318473
PRIM2,UBA2,0.14127195
EIF6,GNL3L,0.15612483
NUP54,PTCD3,0.16727243
MRPS21,SEH1L,0.16763958
MED1,NUBP1,0.1683793
MRPS30,NACA,0.17078035
BUB3,RAD51,0.17947508
COPS4,SMC5,0.18032146
AATF,PPCS,0.18049324
ANKZF1,MRPL43,0.19246276
MRPS35,NSMCE1,0.19582994
CDK1,MINOS1,0.19641984
NOLC1,TIMM22,0.2030251
CWC22,MZT1,0.20533739
TCF25,TUBGCP5,0.20600247
ARIH1,TIPIN,0.20744085
TRA2B,XRN2,0.21245831
ELP4,GNPAT,0.21325824
MRPL32,NUP85,0.21518305
INTS3,PSMB7,0.21901108
CHMP2A,RPL28,0.22010528
RFC4,RPL28,0.22509766
PPIE,PTCD3,0.23031771
NUBP1,PPAT,0.23336351
CCNK,MED28,0.23337655
BUB3,SPAG7,0.23401242
DUT,RPS28,0.2392514
EIF4A1,RPL10,0.24296755
COPS4,EIF2B5,0.24621755
CDC40,SSBP1,0.24628422
FAM50A,FBXO28,0.25025144
MED23,MINOS1-NBL1,0.25096458
FAM50A,NIP7,0.25222373
MRPL32,TAF1,0.26111025
MARS2,MFAP1,0.26252404
ASNA1,NIP7,0.26292127
MCM3,PITRM1,0.26810017
ATP1A1,CDK1,0.28375122
LIAS,PSMD4,0.30175295
ASCC3,NAT10,0.30431473
NOLC1,ZNF598,0.30663213
RPS18,ZNRD1,0.31681818
GNPAT,RPL35,0.32023698
MED23,MTBP,0.3267663
PRIM2,YTHDC1,0.33840817
SPDL1,TRA2B,0.34000456
DICER1,RFC4,0.34032854
GTF3C3,Ltn1,0.3430649
POLE,SDHC,0.36407688
MINOS1,TUBGCP3,0.36478692
RPL10,XRN2,0.36783704
EIF3H,EXOSC6,0.37069228
RPS27A,SMC5,0.37281036
DDX46,FIP1L1,0.38041574
MED1,MED24,0.38544017
AARS2,PET112,0.39000562
GFER,MRPL33,0.40566778
FAM208A,MCM4,0.4089408
DNTTIP2,PPP2R1A,0.41396
METAP2,RPL36A,0.4382336
C14orf2,TRNAU1AP,0.46586844
CDK12,EXOSC2,0.51496327
COPS4,NUDC,0.5322972
CENPM,PET112,0.54446626
FAM50A,RPL30,0.5872743
RBBP8,UBA2,0.59746116
CWC22,FAM50A,0.6114261
ARIH1,RPL10,0.61293364
MRPS9,WDR61,0.6260272
MED1,PSMD4,0.6276057
PSMD4,SNAPC1,0.62788284
EIF6,Ltn1,0.6460443
MED24,SEH1L,0.64985144
MRPL42,PGK1,0.64986145
MED24,MRPL36,0.6589787
GEMIN4,SNRPD3,0.66262984
CEP192,SEH1L,0.66512525
EIF3H,EIF4G2,0.67681307
PSMD4,SSBP1,0.6820599
CCNK,CHMP2A,0.6979028
MED24,MRPL24,0.69932973
CCDC84,RBM17,0.7042224
NCAPD2,USE1,0.709228
CDK12,CHMP2A,0.72505844
LEO1,NAMPT,0.7370237
AURKA,SNRPB,0.76673245
MRPL27,PITRM1,0.7790695
DDX18,DHODH,0.7901504
GTPBP4,RPP30,0.79525167
ACTR10,EIF4G1,0.82543266
CENPM,CEP192,0.8308051
ASCC3,RPLP1,0.8384562
DUT,GEMIN2,0.87030375
CENPK,XRN2,0.8985491
ACTR10,TCOF1,0.9011416
