Gene1,Gene2,Error
LEO1,WDR61,0.014786065
LEO1,PDRG1,0.04322368
AATF,PPCS,0.046231017
BNIP1,WDR61,0.048947334
FDPS,UBA2,0.049176633
GTF2H4,LEO1,0.052862883
BNIP1,LEO1,0.053500235
CDC27,WDR61,0.059047222
MED14,MINOS1,0.08277559
ARL2,KIAA1731,0.08388513
BUB3,SPAG7,0.089683495
HUS1,UBA2,0.091165304
BNIP1,MED23,0.099155426
PPIE,PTCD3,0.11286502
CTNNBL1,GEMIN4,0.118642986
AARS2,PET112,0.121293165
LIAS,PSMD4,0.122804955
MRPL32,NUP85,0.13025142
CDK1,LEO1,0.13120514
MARS2,MFAP1,0.14167619
CENPW,SKA3,0.14830345
NUP54,PTCD3,0.15493791
NUBP1,PPAT,0.15518965
CHMP2A,LEO1,0.15524447
KDM1A,NDUFA9,0.1564449
EIF6,HUS1,0.15935773
CHMP2A,RPL28,0.1645588
MED1,MED9,0.1646015
TCF25,TUBGCP5,0.16531838
MED24,MINOS1,0.16707754
CDC27,CENPW,0.1741603
GEMIN4,GTF2H4,0.17605639
RFC4,RPL28,0.18210924
CTNNBL1,SDHC,0.18633223
DHODH,HUS1,0.18873096
TRA2B,XRN2,0.18992549
INTS3,PSMB7,0.19189972
MCM3,PITRM1,0.19942649
ARL2,RPL11,0.20470786
BUB3,RAD51,0.20520416
MED23,MINOS1-NBL1,0.20601499
MED1,NUBP1,0.21474487
NOLC1,TIMM22,0.21645321
MRPS21,SEH1L,0.21700595
CDK1,MINOS1,0.21935982
EIF4A1,RPL10,0.21985647
ASCC3,NAT10,0.22092725
ASNA1,NIP7,0.22692098
ELP4,GNPAT,0.22948797
FAM50A,NIP7,0.2438487
COPS4,NUDC,0.2444675
ANKZF1,MRPL43,0.24727452
GNPAT,RPL35,0.2483852
COPS4,SMC5,0.25173402
MRPS30,NACA,0.2536558
RPS18,ZNRD1,0.2541329
MED1,MED24,0.26834434
CCNK,MED28,0.26921165
MRPS35,NSMCE1,0.27399155
EIF3H,EXOSC6,0.27513903
FAM50A,FBXO28,0.27761284
DDX46,FIP1L1,0.27954593
LEO1,NAMPT,0.28180802
EIF3H,EXOSC2,0.28244245
RPS27A,SMC5,0.28528678
PRIM2,YTHDC1,0.28807154
EIF6,GNL3L,0.28926885
PRIM2,UBA2,0.29119277
ATP1A1,CDK1,0.29412493
CDC40,SSBP1,0.29801732
MRPL13,MRPS35,0.3020031
NOLC1,ZNF598,0.30821928
CWC22,MZT1,0.32676557
CWC22,FAM50A,0.3289051
ARIH1,TIPIN,0.35275775
DUT,RPS28,0.36258516
DNTTIP2,PPP2R1A,0.37018815
SPDL1,TRA2B,0.37186462
POLE,SDHC,0.3720322
DICER1,RFC4,0.3726542
CDK12,EXOSC2,0.37752664
FAM208A,MCM4,0.3844566
EIF6,Ltn1,0.39431733
MRPL42,PGK1,0.41901326
MBTPS2,TOMM22,0.47804362
MRPL32,TAF1,0.501175
ARIH1,RPL10,0.50287414
FAM50A,RPL30,0.5240419
COPS4,EIF2B5,0.53035897
C14orf2,TRNAU1AP,0.54021233
CENPM,PET112,0.5414008
NCAPD2,USE1,0.5731703
RBBP8,UBA2,0.6139697
GTF3C3,Ltn1,0.6178672
MRPL27,PITRM1,0.6235463
CEP192,SEH1L,0.62593836
RPL10,XRN2,0.6465988
METAP2,RPL36A,0.66277474
MED23,MTBP,0.6669794
DDX18,DHODH,0.6706799
MED24,SEH1L,0.67465335
MED24,MRPL24,0.70153594
ACTR10,EIF4G1,0.7242715
CENPM,CEP192,0.73090667
CCNK,CHMP2A,0.7355896
AURKA,SNRPB,0.74083495
CDK12,CHMP2A,0.7420352
GFER,MRPL33,0.7497858
CCDC84,RBM17,0.76003784
DUT,GEMIN2,0.7666574
GEMIN4,SNRPD3,0.7693424
EIF3H,EIF4G2,0.79662013
ACTR10,TCOF1,0.7968779
MED24,MRPL36,0.80355275
ASCC3,RPLP1,0.8064499
MINOS1,TUBGCP3,0.8167202
MRPS9,WDR61,0.8231726
CENPK,XRN2,0.83915687
GTPBP4,RPP30,0.84920186
PSMD4,SNAPC1,0.85972685
PSMD4,SSBP1,0.86869156
MED1,PSMD4,0.8798605
