Gene1,Gene2,Count,AvgError
EEF1G,EXOSC6,9,0.006130429924444444
EEF1G,TGIF2,9,0.005635916735555555
MARS2,MRPL18,9,0.0020515305988888888
MRPS18A,MRPS9,9,0.0048208939866666665
NACA,NFE2L1,9,0.0033612900433333333
NAT10,RPTOR,9,0.006656738662222222
NFE2L1,TFB1M,9,0.005690524728888889
PDRG1,RPP30,9,0.008241653955555556
PDRG1,SLC7A6OS,9,0.008105159873333333
