Gene1,Gene2,Error
NFE2L1,TFB1M,0.00022301413
MARS2,MRPL18,0.00045311358
HCCS,MRPL42,0.00048827537
FDPS,HCCS,0.0007626459
MRPS21,NAMPT,0.00082927546
PDRG1,SLC7A6OS,0.0011280075
NACA,NFE2L1,0.0011573457
RNF20,RPL35,0.0012716322
EEF1G,TGIF2,0.0013415803
SFXN1,UBA3,0.0015807383
MRPS18A,MRPS9,0.0016216773
NAT10,RPTOR,0.001972746
BDP1,NDUFA8,0.0023086744
MARS2,PPCS,0.0025618626
DLST,GNL2,0.0026234165
PDRG1,RPP30,0.0027071775
EEF1G,EXOSC6,0.0030108227
RBFA,RPL27,0.003313692
MRPL39,NOL10,0.0041631195
GNL2,RINT1,0.0055892095
CDC40,MRPL46,0.006012144
RPL35,RPTOR,0.00622577
PMVK,TBCB,0.006226513
CLSPN,SNRPC,0.0062710047
BUB3,CLSPN,0.0067143147
MRPL43,NOL10,0.006780279
CCT8,SNRPC,0.0070262654
ACTR10,SMC5,0.007062591
RBBP8,TRMT5,0.00741539
PPCS,PTCD3,0.007854004
LARS,RFC4,0.00788326
AARS2,MCM4,0.008087864
KIF11,MED9,0.008145016
TRMT5,ZMAT5,0.008543834
MTHFD2,TRRAP,0.00884894
RRM1,STXBP4,0.008949687
CDC27,RPP30,0.009829763
CEP192,RPS28,0.009872839
MAT2A,RPS28,0.01052052
NDUFB1,TUBGCP5,0.010594449
KARS,KIF11,0.011702678
HYPK,RAD51,0.012221135
GTF2H4,RBM22,0.012389058
CIRH1A,GNL2,0.012788701
C9orf114,RPLP2,0.013898117
FBXO28,SRP19,0.013902686
LEO1,WDR61,0.013912499
COX7C,NSMCE1,0.01462946
ANKZF1,CEP152,0.014709583
MRPL19,SLC7A6OS,0.015178461
LEO1,VPS72,0.015998602
NOC2L,RPL24,0.01610014
C6orf203,CNOT1,0.016411766
RPL8,TIMM9,0.016577693
EFR3A,POLR2K,0.01719745
RRM1,SPATA5,0.017436504
KCTD10,PPP2R1A,0.017787457
COG3,RPS28,0.017800845
MED28,NACA,0.017820239
EEF1G,SGOL1,0.019056255
NAA50,PMVK,0.01929658
MRPS28,NCBP1,0.02086054
DNA2,NOC2L,0.021616498
LARS2,MRPL27,0.021840254
CDC73,SSB,0.023291137
MRPS23,SRSF7,0.023542672
COX7C,NCAPD2,0.023706272
LEO1,PSMD1,0.023880184
PPAT,TRPM7,0.023966659
GNL2,ZNF830,0.024864737
MRPL18,PRIM2,0.024878383
COQ2,NFE2L1,0.024995109
DHX37,TSEN2,0.025428329
ATP5A1,DHX37,0.025840033
MBTPS2,NUDC,0.025998771
MAT2A,NOL9,0.026601484
LEO1,NDUFB1,0.027505636
BTF3,LARS2,0.02751772
COX7C,SSB,0.02760959
NFYC,NOL9,0.027733808
NAT10,UQCRB,0.028275302
DHX37,POLR3B,0.02859706
DDX18,MRPS16,0.028912822
CDC26,SNRPD3,0.02914486
CCDC84,EFR3A,0.031313915
CARS2,MRPS9,0.03147768
MRPL50,PPAT,0.032730684
BOD1L1,ZMAT2,0.03343789
PTCD3,TRA2B,0.033486143
NDUFA2,ZNRD1,0.033727173
HUS1,WDR61,0.03680086
DNTTIP2,NCBP1,0.038004845
EBNA1BP2,POLD3,0.039032165
EBNA1BP2,MED24,0.0403797
PPP2R1A,SNRPG,0.04132253
MED23,TIMELESS,0.041695476
CARS2,NSMCE4A,0.042332012
EIF4G1,EIF6,0.043295983
WDR61,WDR7,0.04364091
NUBP1,WDR36,0.044002812
COX5A,TGIF2,0.0452231
EIF4G1,MRPL15,0.04534041
CARS,SNAPC1,0.045357198
LEO1,RTF1,0.045411587
PPP2R1A,TAF2,0.045517027
NIP7,SLC7A1,0.045803733
GFI1B,PELO,0.0459736
EIF5B,NOL8,0.046301387
ACTR10,PDRG1,0.04770415
CENPM,MBTPS2,0.048184276
LEO1,PNN,0.048362315
SLC35A1,TAF1A,0.049004536
SNIP1,ZNRD1,0.04969759
NAA25,NDUFB1,0.049743913
DHX37,VPS29,0.049869586
LEO1,MAX,0.052106082
KIF14,PPP2R1A,0.05221522
CDC27,PPCS,0.052565854
FDPS,PPP2R1A,0.052731097
COPS4,NSMCE4A,0.05400112
BTF3,DLST,0.0550122
NSMCE4A,ZNHIT6,0.055932608
PELO,PSMD1,0.055964887
DCTN4,POLR2K,0.056025323
PPP2R1A,UBA3,0.056951284
ANAPC13,PPP2R1A,0.05727452
PELO,RPL36A,0.057899177
LEO1,SDHC,0.05891794
DDX18,NCAPD2,0.060378887
KDM1A,LEO1,0.062393904
ANKZF1,RPL36A,0.06451984
ANKZF1,ARL2,0.06460499
AATF,MINOS1,0.06475456
COPS5,PPP2R1A,0.067911446
CENPK,WDR61,0.071183324
CDK1,LEO1,0.07154518
LEO1,PSMC6,0.07413012
RAD51,RPL27,0.07451591
REXO2,SNAPC1,0.07555093
PAFAH1B1,ZNF574,0.07606596
EIF3H,SKA3,0.07619548
LARS,LEO1,0.07635015
KCTD10,MRPS5,0.07723534
DLST,MED28,0.07813018
SEC22B,WDR61,0.07816774
MRPS25,TOMM22,0.07822592
NUP85,PPP2R1A,0.07842511
PPP2R1A,PSMD6,0.078728795
MRPL39,PSMB7,0.08018737
SCO1,SNRPB,0.08035267
CENPK,VPS72,0.08115029
AURKA,TAF1A,0.08154034
KARS,LEO1,0.081985235
MZT1,NAT10,0.082013436
ARL2,KIAA1731,0.08489692
LEO1,PSMB7,0.08543211
CIRH1A,XRN2,0.087049305
CAPZB,IARS,0.08811409
CCNK,EXOSC9,0.08858638
SKIV2L2,TAF1,0.089671075
MCM3,PDCD7,0.089856565
COX16,RPF2,0.09022464
BTF3,MCM4,0.090835795
NAT10,SKIV2L,0.09084356
EIF3H,NOC2L,0.091515906
HUS1,TRA2B,0.09200364
MRPL43,MRPS18B,0.09221019
DCAF7,DDX46,0.09228626
MRPS35,NDUFA9,0.09315468
KIF14,PELO,0.093209624
ANAPC13,MBTPS2,0.09418428
SSB,TIMELESS,0.09625006
HUS1,METAP2,0.09665102
PELO,UBA3,0.09673709
ERH,ZNF574,0.097723246
INTS3,XRN2,0.09912187
LEO1,NAT10,0.100182235
TUBGCP5,XRN2,0.10044385
BUB3,PHF5A,0.101009704
DYNC1H1,MRPL42,0.10193832
MRPS35,TOMM22,0.10268866
MRPL27,POLD1,0.102849886
KIAA1731,SEC22B,0.10329163
MARS,PPP2R1A,0.10349578
TOMM22,TRNAU1AP,0.1035728
MRPS28,POLR3B,0.105882674
CHMP2A,PELO,0.10598421
NUDC,NUP43,0.1060316
NUP43,TIMELESS,0.10842991
PELO,PNN,0.1096459
PELO,RPLP1,0.11013365
NAA50,TIMELESS,0.11035299
ATXN10,NOL8,0.112449855
GPN3,LEO1,0.112737834
SKA3,TAZ,0.11286539
MRPS21,TSEN2,0.11339529
CKAP5,NUDC,0.113615155
KIAA1731,PAFAH1B1,0.115480006
NUP54,TIMELESS,0.116391
MRPL22,PSMD12,0.11717534
COG3,NUDC,0.11751729
ARIH1,ZNF574,0.11779606
MED23,NDUFB2,0.119936824
ATP5F1,SNRPC,0.12023658
AURKA,TCOF1,0.12043595
CACTIN,HUS1,0.12385869
PPWD1,RAD51,0.12439472
GTPBP4,TRA2B,0.12460334
ATP6V1G1,WDR7,0.12529081
CHMP2A,NUDC,0.12530708
ACTR10,EIF3M,0.12618484
EMC1,MBTPS2,0.1264087
NUP54,WDR61,0.12911737
NDUFB1,PGK1,0.12990922
GNL3L,KIAA1731,0.13156164
PELO,POLN,0.13329077
CDC26,TCOF1,0.13455133
CACTIN,TIMELESS,0.13808584
CDCA8,DLST,0.138091
NUP43,ZNRD1,0.13987431
FAM98B,HSCB,0.14139389
DYNC1H1,NFYC,0.14154354
ASNA1,RFC5,0.14188243
HUS1,SDHC,0.14428681
RPF2,SRFBP1,0.14533576
PNISR,POLN,0.14566368
MED23,VPS29,0.14603555
GINS4,MED23,0.14618671
C9orf114,EMG1,0.1488299
CARS,XRN2,0.15033692
