Gene1,Gene2,Error
NACA,NFE2L1,0.00049895974
CLSPN,SNRPC,0.0012190534
MTHFD2,TRRAP,0.0013464687
ACTR10,SMC5,0.0016483951
BUB3,CLSPN,0.0017093502
MRPS25,TOMM22,0.004777854
NFE2L1,TFB1M,0.0054494524
MARS2,MRPL18,0.0059853382
MED28,NACA,0.0067187804
PMVK,TBCB,0.007409822
NAT10,UQCRB,0.0076587973
RBFA,RPL27,0.007929474
HCCS,MRPL42,0.008744525
NAT10,RPTOR,0.009016465
MRPL39,NOL10,0.009744121
CCT8,SNRPC,0.009821872
MRPS18A,MRPS9,0.011218021
AATF,MINOS1,0.012745692
BTF3,LARS2,0.01311424
C6orf203,CNOT1,0.013472273
MRPL43,NOL10,0.01366263
COX7C,NSMCE1,0.014394048
LARS2,MRPL27,0.015426987
EIF4G1,EIF6,0.015856512
DLST,GNL2,0.016778583
COQ2,NFE2L1,0.01819798
MRPL18,PRIM2,0.018616749
GNL2,RINT1,0.018829146
FDPS,HCCS,0.01896449
CARS2,NSMCE4A,0.02065704
NAA50,PMVK,0.021065263
KIF11,MED9,0.021290332
PPCS,PTCD3,0.02155676
MRPS28,NCBP1,0.021893436
FBXO28,SRP19,0.023825249
KARS,KIF11,0.02503717
MRPL27,POLD1,0.025146654
LARS,RFC4,0.025303949
COPS4,NSMCE4A,0.025647378
RNF20,RPL35,0.027666787
PPAT,TRPM7,0.027754592
C9orf114,RPLP2,0.028768266
EBNA1BP2,POLD3,0.02931842
COX7C,SSB,0.030520461
EBNA1BP2,MED24,0.030663969
POLD1,USE1,0.031216316
PDRG1,RPP30,0.032883715
SFXN1,UBA3,0.03420107
EEF1G,EXOSC6,0.034497656
NSMCE4A,ZNHIT6,0.034510627
NDUFB1,TUBGCP5,0.03627762
EEF1G,TGIF2,0.03659146
COX7C,NCAPD2,0.037966803
AARS2,MCM4,0.0383942
HYPK,RAD51,0.038564686
RRM1,SPATA5,0.03883762
NAT10,SKIV2L,0.043111507
DDX18,MRPS16,0.046528295
CDC27,RPP30,0.04727552
CCDC84,EFR3A,0.047406036
CIRH1A,GNL2,0.047796614
NOC2L,RPL24,0.048078466
ANKZF1,CEP152,0.04833309
RPL8,TIMM9,0.048502464
DNA2,NOC2L,0.04980676
EFR3A,POLR2K,0.049916387
MARS2,PPCS,0.049983297
DNTTIP2,NCBP1,0.05062448
MZT1,NAT10,0.052263044
LEO1,WDR61,0.052880585
CEP192,RPS28,0.05511075
KCTD10,PPP2R1A,0.055131555
PDRG1,SLC7A6OS,0.055286493
RPL35,RPTOR,0.057130545
RBBP8,TRMT5,0.057210937
MAT2A,RPS28,0.057817545
PPP2R1A,SNRPG,0.058674097
NIP7,SLC7A1,0.059254598
LEO1,VPS72,0.061300218
TOMM22,TRNAU1AP,0.06334439
EIF5B,NOL8,0.06346946
COX5A,TGIF2,0.06468172
MRPS23,SRSF7,0.064838886
ATP5A1,DHX37,0.066479824
EIF4G1,MRPL15,0.06649547
GNL2,ZNF830,0.06793435
CARS,SNAPC1,0.068066545
CDC73,SSB,0.06916823
DHX37,POLR3B,0.06944024
MBTPS2,NUDC,0.07106358
NUBP1,WDR36,0.07226323
CCNK,EXOSC9,0.07414441
TRMT5,ZMAT5,0.076580964
SCO1,SNRPB,0.078243814
PTCD3,TRA2B,0.07852442
LEO1,PSMD1,0.07915294
WDR61,WDR7,0.079916656
BDP1,NDUFA8,0.08028578
CDC40,MRPL46,0.080386475
PPP2R1A,TAF2,0.08055097
MAT2A,NOL9,0.08318138
FDPS,PPP2R1A,0.0835042
MED23,TIMELESS,0.084287405
MRPL43,MRPS18B,0.08492233
PELO,RPL36A,0.08510959
DHX37,TSEN2,0.08544148
LEO1,NDUFB1,0.08639312
GFI1B,PELO,0.08658248
CENPM,MBTPS2,0.0867573
CDC26,SNRPD3,0.090931654
MRPS28,POLR3B,0.09141912
REXO2,SNAPC1,0.09214349
HUS1,WDR61,0.09325552
ANAPC13,PPP2R1A,0.09429979
PPP2R1A,UBA3,0.094727516
COG3,RPS28,0.09562594
CARS2,MRPS9,0.095636405
PAFAH1B1,ZNF574,0.09606832
NDUFA2,ZNRD1,0.09631004
COPS5,PPP2R1A,0.096487045
