Gene1,Gene2,Error
EEF1G,TGIF2,2.970097e-05
RBFA,RPL27,3.2605545e-05
NAT10,RPTOR,5.460094e-05
EEF1G,EXOSC6,0.00017167136
MARS2,MRPL18,0.00018799808
NAT10,UQCRB,0.0007749434
PDRG1,SLC7A6OS,0.0008463096
NACA,NFE2L1,0.00092633185
NFE2L1,TFB1M,0.0012983456
DDX18,MRPS16,0.0013257886
MARS2,PPCS,0.0013913302
EBNA1BP2,MED24,0.0014749637
CDC40,MRPL46,0.0015782717
HCCS,MRPL42,0.0019122026
LARS,RFC4,0.0019470128
DLST,GNL2,0.001983419
EBNA1BP2,POLD3,0.0020195867
BDP1,NDUFA8,0.0021058915
FDPS,HCCS,0.002246483
RNF20,RPL35,0.0026496386
COX5A,TGIF2,0.0026529687
RPL35,RPTOR,0.003062117
C9orf114,RPLP2,0.00306593
BUB3,CLSPN,0.0030733268
PPCS,PTCD3,0.0031711613
MRPS18A,MRPS9,0.0031965736
CLSPN,SNRPC,0.0033094785
BOD1L1,ZMAT2,0.0033807887
MRPS28,NCBP1,0.0036980289
RBBP8,TRMT5,0.0037425482
PMVK,TBCB,0.004322935
MAT2A,NOL9,0.0049421056
NAT10,SKIV2L,0.005620804
CARS2,NSMCE4A,0.005818925
FBXO28,SRP19,0.006170767
EEF1G,SGOL1,0.0061951005
MZT1,NAT10,0.006647804
REXO2,SNAPC1,0.006780089
PPAT,TRPM7,0.0069522313
MED28,NACA,0.0070530074
DDX18,NCAPD2,0.0070714517
GNL2,RINT1,0.007079867
NAA50,PMVK,0.007349183
NIP7,SLC7A1,0.0077797743
TRMT5,ZMAT5,0.0078032557
DNTTIP2,NCBP1,0.00790581
PDRG1,RPP30,0.007914945
CARS,SNAPC1,0.008043362
MRPL39,NOL10,0.008097302
COPS4,NSMCE4A,0.008289037
MRPL43,NOL10,0.00831334
C6orf203,CNOT1,0.008348598
EIF5B,NOL8,0.008361909
MRPS25,TOMM22,0.008857274
NFYC,NOL9,0.008958717
NOC2L,RPL24,0.008965579
ACTR10,SMC5,0.009167773
SFXN1,UBA3,0.0093394155
MRPS21,NAMPT,0.009361004
DNA2,NOC2L,0.009407509
RPL8,TIMM9,0.009423074
EFR3A,POLR2K,0.00946353
CCT8,SNRPC,0.009728043
CDC73,SSB,0.010653013
MAT2A,RPS28,0.011303598
AARS2,MCM4,0.011566848
RRM1,SPATA5,0.01165901
MRPL27,POLD1,0.011911896
MTHFD2,TRRAP,0.012059135
DHX37,TSEN2,0.012138665
NSMCE4A,ZNHIT6,0.012341801
LARS2,MRPL27,0.012533466
KARS,KIF11,0.013583217
AATF,MINOS1,0.013787407
CARS2,MRPS9,0.014680579
DLST,MED28,0.01589996
KIF11,MED9,0.016361449
CCDC84,EFR3A,0.016590059
ATP5A1,DHX37,0.017274473
COQ2,NFE2L1,0.018054701
MRPL18,PRIM2,0.019121164
DHX37,POLR3B,0.019466285
RRM1,STXBP4,0.019769529
MRPS23,SRSF7,0.020497914
MRPL19,SLC7A6OS,0.020532688
CEP192,RPS28,0.021805212
NUBP1,WDR36,0.021983618
COX7C,NSMCE1,0.02368614
ANKZF1,CEP152,0.023830125
NDUFB1,TUBGCP5,0.028268771
SLC35A1,TAF1A,0.02964365
PTCD3,TRA2B,0.030454569
EIF4G1,EIF6,0.03159591
EIF4G1,MRPL15,0.03190585
POLD1,USE1,0.032315303
CIRH1A,GNL2,0.032390174
BTF3,LARS2,0.034901325
MRPL50,PPAT,0.036198307
ACTR10,PDRG1,0.03704887
COG3,RPS28,0.039621554
DCTN4,POLR2K,0.03971443
HYPK,RAD51,0.044624586
MRPS21,TSEN2,0.046584312
BTF3,DLST,0.046640385
CDC26,SNRPD3,0.050736245
GTPBP4,TRA2B,0.052724473
EIF3H,NOC2L,0.053733535
CDC27,PPCS,0.056690827
NDUFA2,ZNRD1,0.05694623
DHX37,VPS29,0.057401516
MRPL43,MRPS18B,0.059108656
NAA25,NDUFB1,0.0627811
CAPZB,IARS,0.06319099
CDCA8,DLST,0.06732125
CDC27,RPP30,0.06860656
NFYC,POLR2B,0.07022348
BUB3,PHF5A,0.07236851
MRPS28,POLR3B,0.07652611
PNISR,POLN,0.08197448
COX7C,SSB,0.08502549
SCO1,SNRPB,0.08524603
MRPL39,PSMB7,0.08739392
MRPS35,NDUFA9,0.10027404
ACTR10,EIF3M,0.10308652
MRP63,PHF5A,0.10407664
CCNK,EXOSC9,0.107671686
TOMM22,TRNAU1AP,0.10786092
CAPZB,GTF2H1,0.11337497
GTF2H1,RPL27,0.11375812
RAD51,RPL27,0.115147784
IARS,USMG5,0.11596634
MRPS35,TOMM22,0.11667983
C9orf114,EMG1,0.11885815
ATP5F1,SNRPC,0.12208792
PDSS2,RINT1,0.12548377
COX7C,NCAPD2,0.12620218
NOL8,USMG5,0.12654755
COX16,RPF2,0.1287671
ATXN10,NOL8,0.12946726
SNIP1,ZNRD1,0.13370815
SKIV2L2,TAF1,0.13389564
ASNA1,RFC5,0.13499592
NOP58,SKIV2L,0.13525634
POLN,QARS,0.13535452
PMPCB,RBM17,0.13603361
GTF2H4,RBM22,0.15562786
ATXN10,REXO2,0.15646671
ADAT2,SEC22B,0.15691139
ATP5J2,FAM50A,0.16223748
CSTF3,EIF3D,0.16293773
DYNC1H1,NFYC,0.17830469
DYNC1H1,MRPL42,0.18679848
FAM98B,MED24,0.19334412
DCAF7,DDX46,0.19660388
LEO1,VPS72,0.20459521
PSMC1,TIMM9,0.2065614
ATP6AP1,MRPS28,0.20783848
LEO1,WDR61,0.21199006
PPIE,ZNF511,0.21547413
KIF14,TIMM9,0.2158173
MED24,ZNF598,0.21680912
KCTD10,PPP2R1A,0.21774459
NUP43,ZNRD1,0.22562812
ATP1A1,LUC7L3,0.2258904
BUB3,COPS2,0.2282295
PPP2R1A,SNRPG,0.2287097
POLR2K,SYVN1,0.22966541
LEO1,NDUFB1,0.23197997
LEO1,PSMD1,0.23395222
COQ2,MRPS10,0.23491627
RPF2,SRFBP1,0.23589374
MBTPS2,NUDC,0.23671669
MRPS10,PMPCB,0.23698424
WDR61,WDR7,0.2389028
ANKZF1,RPL36A,0.24042946
ATP6AP1,MRPS21,0.2409016
AURKA,TAF1A,0.24177502
PPP2R1A,TAF2,0.24214786
HUS1,WDR61,0.24272645
PAFAH1B1,ZNF574,0.24573404
GNL2,ZNF830,0.2487622
GFI1B,PELO,0.25114954
FDPS,PPP2R1A,0.2518469
MED23,TIMELESS,0.25358778
LEO1,RTF1,0.2544663
CENPM,MBTPS2,0.2556153
LEO1,MAX,0.2579977
PELO,PSMD1,0.25865972
LUC7L3,POLD3,0.25879017
PELO,RPL36A,0.25894994
COX16,LIAS,0.25908503
PPP2R1A,UBA3,0.26072443
COPE,LUC7L3,0.26183516
NDUFA9,PDSS2,0.26208705
CENPK,VPS72,0.2639734
ANAPC13,PPP2R1A,0.2639948
ERH,ZNF574,0.26438636
LEO1,PNN,0.26484406
KIF14,PPP2R1A,0.26582456
LEO1,SDHC,0.2674721
LEO1,PSMC6,0.26803118
KDM1A,LEO1,0.268538
COPS5,PPP2R1A,0.27037024
CDK1,LEO1,0.27124083
PPP2R1A,PSMD6,0.27155924
SKA3,SRSF7,0.27159435
CENPK,WDR61,0.2727784
KCTD10,MRPS5,0.27296782
