Gene1,Gene2,Error
FBXO28,SRP19,3.8168313e-05
MARS2,MRPL18,7.812213e-05
MRPS18A,MRPS9,0.00012053511
LARS2,MRPL27,0.00022216987
BTF3,LARS2,0.0003021329
NFE2L1,TFB1M,0.00033161606
RBBP8,TRMT5,0.00051563175
NACA,NFE2L1,0.0006018454
MARS2,PPCS,0.0006163991
PDRG1,SLC7A6OS,0.0009058754
NAT10,UQCRB,0.00091613864
TRMT5,ZMAT5,0.0009297238
NAT10,RPTOR,0.00094125996
EEF1G,TGIF2,0.0010057085
CDC40,MRPL46,0.0012624058
CDC73,SSB,0.0017572532
EEF1G,EXOSC6,0.0018571696
RPL8,TIMM9,0.0018919457
MRPS21,NAMPT,0.00244369
KIF11,MED9,0.0026304652
C9orf114,RPLP2,0.002834409
KARS,KIF11,0.0029048808
MAT2A,RPS28,0.0029510802
RBFA,RPL27,0.0032208627
PDRG1,RPP30,0.0033285918
MRPS25,TOMM22,0.004288155
NAA25,NDUFB1,0.0043762056
CEP192,RPS28,0.0045348397
MTHFD2,TRRAP,0.004589402
C6orf203,CNOT1,0.005361251
EBNA1BP2,MED24,0.0063490784
CARS2,MRPS9,0.0067374003
COX7C,NSMCE1,0.0074130557
COG3,RPS28,0.008708383
AARS2,MCM4,0.008827424
PMVK,TBCB,0.009307221
RRM1,SPATA5,0.009334427
EBNA1BP2,POLD3,0.009450875
NAT10,SKIV2L,0.010100461
MRPL39,NOL10,0.010553381
GNL2,RINT1,0.0120036
COX7C,SSB,0.012068308
MRPL19,SLC7A6OS,0.012268681
MAT2A,NOL9,0.012563961
NOC2L,RPL24,0.012628392
DNA2,NOC2L,0.013283927
PPCS,PTCD3,0.014372376
COQ2,NFE2L1,0.0145227015
MED28,NACA,0.014568669
COX7C,NCAPD2,0.015264482
DLST,GNL2,0.01620083
LEO1,WDR61,0.016564548
MRPL18,PRIM2,0.0173029
RPL8,VPS72,0.018824805
MRPL43,NOL10,0.018970035
MZT1,NAT10,0.020073576
CDC27,RPP30,0.020137254
CARS,SNAPC1,0.02022163
NFYC,NOL9,0.020502077
NAA50,PMVK,0.02086641
EFR3A,POLR2K,0.021738283
LARS,RFC4,0.022334639
LEO1,VPS72,0.022460818
MRPL27,POLD1,0.023228403
BUB3,CLSPN,0.023632525
CLSPN,SNRPC,0.02450348
REXO2,SNAPC1,0.024582764
LEO1,PSMD1,0.026105762
COX5A,TGIF2,0.026205577
RPL35,RPTOR,0.02825355
GTF2H4,RBM22,0.028734565
RNF20,RPL35,0.029021416
HYPK,RAD51,0.029655
