Gene1,Gene2,Error
LEO1,WDR61,0.0016510487
FDPS,UBA2,0.0066560507
BNIP1,WDR61,0.0086811185
BNIP1,LEO1,0.010723472
CDC27,WDR61,0.012606382
GTF2H4,LEO1,0.012931466
LEO1,PDRG1,0.02237922
CHMP2A,LEO1,0.031701863
HUS1,UBA2,0.034867346
ARL2,KIAA1731,0.03903526
CDK1,LEO1,0.046841383
BNIP1,MED23,0.048446238
CTNNBL1,GEMIN4,0.051648736
MED14,MINOS1,0.056449234
MED1,MED9,0.10084993
CENPW,SKA3,0.10104132
EIF6,HUS1,0.10690892
MRPL13,MRPS35,0.1104637
EIF3H,EXOSC2,0.112719595
GEMIN4,GTF2H4,0.1142568
KDM1A,NDUFA9,0.11595172
AATF,PPCS,0.11739638
CDC27,CENPW,0.12003851
TRA2B,XRN2,0.12055594
CTNNBL1,SDHC,0.12593621
MED1,NUBP1,0.12652153
BUB3,RAD51,0.12714113
MED24,MINOS1,0.13262314
DHODH,HUS1,0.1352117
ARL2,RPL11,0.13936496
MARS2,MFAP1,0.14958026
MRPS21,SEH1L,0.15403572
PRIM2,UBA2,0.16447598
MRPL32,NUP85,0.17142408
NOLC1,TIMM22,0.17342009
ANKZF1,MRPL43,0.17762475
RBBP8,UBA2,0.17814773
MRPL32,TAF1,0.17974895
ELP4,GNPAT,0.17988895
MRPS30,NACA,0.18018651
CDK1,MINOS1,0.18091792
BUB3,SPAG7,0.18626024
EIF4A1,RPL10,0.19476223
NUP54,PTCD3,0.1970741
TCF25,TUBGCP5,0.19921252
MED23,MINOS1-NBL1,0.20844454
COPS4,SMC5,0.21405256
CDC40,SSBP1,0.21568485
NOLC1,ZNF598,0.23233382
GNPAT,RPL35,0.24639405
MRPS35,NSMCE1,0.24952888
RFC4,RPL28,0.25572875
FAM50A,NIP7,0.26437673
MBTPS2,TOMM22,0.26529807
CDK12,EXOSC2,0.26644474
CWC22,MZT1,0.26805827
INTS3,PSMB7,0.26823565
FAM50A,FBXO28,0.2689009
RPS18,ZNRD1,0.2721641
CCNK,MED28,0.27393758
ASCC3,NAT10,0.27875474
PPIE,PTCD3,0.27972916
ASNA1,NIP7,0.2812604
MED1,MED24,0.30092496
AARS2,PET112,0.30244288
DDX46,FIP1L1,0.3026635
EIF3H,EXOSC6,0.30671072
LIAS,PSMD4,0.30753875
DUT,RPS28,0.3099523
CHMP2A,RPL28,0.31279665
COPS4,EIF2B5,0.3210803
EIF6,GNL3L,0.32447082
PRIM2,YTHDC1,0.33596435
NUBP1,PPAT,0.34011415
DICER1,RFC4,0.34393173
FAM208A,MCM4,0.34591845
ATP1A1,CDK1,0.34820247
SPDL1,TRA2B,0.35379612
RPL10,XRN2,0.35696113
RPS27A,SMC5,0.36588898
MCM3,PITRM1,0.37341267
GTF3C3,Ltn1,0.3752598
DNTTIP2,PPP2R1A,0.40074915
POLE,SDHC,0.4034609
COPS4,NUDC,0.4505818
METAP2,RPL36A,0.47549284
C14orf2,TRNAU1AP,0.51629525
ARIH1,TIPIN,0.5437793
CENPM,PET112,0.5642774
DDX18,DHODH,0.56458
FAM50A,RPL30,0.5703949
MED23,MTBP,0.57477355
CWC22,FAM50A,0.5768266
CCNK,CHMP2A,0.576923
MRPL42,PGK1,0.5911552
ARIH1,RPL10,0.6022502
CDK12,CHMP2A,0.60493124
EIF6,Ltn1,0.6052345
MED1,PSMD4,0.6231606
PSMD4,SNAPC1,0.6422082
GFER,MRPL33,0.65047574
EIF3H,EIF4G2,0.65700734
MRPL27,PITRM1,0.6687154
MED24,MRPL24,0.66937
CCDC84,RBM17,0.6788808
MED24,MRPL36,0.67999786
GEMIN4,SNRPD3,0.6848159
CEP192,SEH1L,0.6880902
MED24,SEH1L,0.6896733
PSMD4,SSBP1,0.6911434
NCAPD2,USE1,0.71394086
MINOS1,TUBGCP3,0.7256126
LEO1,NAMPT,0.7448752
ASCC3,RPLP1,0.77432007
ACTR10,EIF4G1,0.79125667
AURKA,SNRPB,0.8037544
MRPS9,WDR61,0.8073718
ACTR10,TCOF1,0.82562107
CENPM,CEP192,0.8312473
GTPBP4,RPP30,0.8550331
DUT,GEMIN2,0.86252457
CENPK,XRN2,0.8917275
