Gene1,Gene2,Error
LEO1,WDR61,0.008728325
FDPS,UBA2,0.027085721
BNIP1,WDR61,0.032679737
CDC27,WDR61,0.0330348
BNIP1,LEO1,0.042352855
GTF2H4,LEO1,0.044928253
ARL2,KIAA1731,0.06560302
HUS1,UBA2,0.06719291
LEO1,PDRG1,0.067596376
MRPL13,MRPS35,0.088118136
LEO1,NAMPT,0.09788519
MED14,MINOS1,0.109930396
CDK1,LEO1,0.112249136
CTNNBL1,GEMIN4,0.11419034
BNIP1,MED23,0.11521274
EIF6,HUS1,0.1170485
BUB3,RAD51,0.12496991
MED1,MED9,0.13960624
CENPW,SKA3,0.13963103
CTNNBL1,SDHC,0.1398027
MRPS35,NSMCE1,0.13994093
ARL2,RPL11,0.1465149
CDC27,CENPW,0.14831978
MED1,NUBP1,0.14889783
ELP4,GNPAT,0.1526425
TCF25,TUBGCP5,0.16024993
COPS4,SMC5,0.1620276
EIF4A1,RPL10,0.16328567
NOLC1,TIMM22,0.16362524
NUBP1,PPAT,0.1638749
RFC4,RPL28,0.17024092
KDM1A,NDUFA9,0.17604756
DHODH,HUS1,0.17609686
CHMP2A,RPL28,0.17992319
NUP54,PTCD3,0.18238367
BUB3,SPAG7,0.18730466
INTS3,PSMB7,0.19291344
MRPS21,SEH1L,0.19644476
MRPL32,NUP85,0.19801527
EIF3H,EXOSC2,0.2035386
ASCC3,NAT10,0.20456633
MCM3,PITRM1,0.2058971
CWC22,MZT1,0.20767331
GEMIN4,GTF2H4,0.21042323
ANKZF1,MRPL43,0.21451092
EIF6,GNL3L,0.22398603
PPIE,PTCD3,0.22437112
TRA2B,XRN2,0.22628516
MED23,MINOS1-NBL1,0.22642535
AATF,PPCS,0.23125827
DDX46,FIP1L1,0.23226039
CHMP2A,LEO1,0.23322129
CCNK,MED28,0.23393941
COPS4,NUDC,0.23490685
GNPAT,RPL35,0.2363938
PRIM2,UBA2,0.24215817
FAM50A,FBXO28,0.24523625
MED24,MINOS1,0.24565834
MED1,MED24,0.24923289
LIAS,PSMD4,0.25042278
ARIH1,TIPIN,0.25723094
COPS4,EIF2B5,0.26160333
CDK12,EXOSC2,0.2625808
DICER1,RFC4,0.26524252
MRPS30,NACA,0.2681187
CDC40,SSBP1,0.27126718
PRIM2,YTHDC1,0.27781993
CDK1,MINOS1,0.27850258
RPS18,ZNRD1,0.28235024
MRPL32,TAF1,0.28887588
MARS2,MFAP1,0.291193
ASNA1,NIP7,0.29582554
ATP1A1,CDK1,0.30544317
NOLC1,ZNF598,0.30936757
FAM50A,NIP7,0.31380194
DNTTIP2,PPP2R1A,0.31841075
MBTPS2,TOMM22,0.3220541
DUT,RPS28,0.329006
RPS27A,SMC5,0.3290907
SPDL1,TRA2B,0.3368184
RPL10,XRN2,0.3372694
EIF6,Ltn1,0.3492099
EIF3H,EXOSC6,0.35149947
AARS2,PET112,0.37032533
POLE,SDHC,0.37190753
FAM208A,MCM4,0.37624606
MED23,MTBP,0.38770756
CWC22,FAM50A,0.42754817
FAM50A,RPL30,0.5076653
GFER,MRPL33,0.5370603
METAP2,RPL36A,0.55333054
DDX18,DHODH,0.55579424
C14orf2,TRNAU1AP,0.58140576
MRPL27,PITRM1,0.60692483
RBBP8,UBA2,0.6112219
CENPM,PET112,0.61625236
ARIH1,RPL10,0.6486851
MED24,MRPL24,0.649711
MRPL42,PGK1,0.65409017
CCDC84,RBM17,0.65460825
CEP192,SEH1L,0.6560376
GTF3C3,Ltn1,0.6677633
MINOS1,TUBGCP3,0.6724397
MED1,PSMD4,0.67903805
MED24,SEH1L,0.6828456
MED24,MRPL36,0.6848639
CDK12,CHMP2A,0.71483445
PSMD4,SNAPC1,0.7163352
PSMD4,SSBP1,0.7333213
CCNK,CHMP2A,0.74251384
ACTR10,EIF4G1,0.74421155
GEMIN4,SNRPD3,0.74495476
ACTR10,TCOF1,0.7544632
EIF3H,EIF4G2,0.7706666
AURKA,SNRPB,0.7751867
GTPBP4,RPP30,0.7840979
NCAPD2,USE1,0.8128802
CENPM,CEP192,0.8142647
DUT,GEMIN2,0.8193745
CENPK,XRN2,0.85923374
ASCC3,RPLP1,0.8876688
MRPS9,WDR61,0.9144728
