Gene1,Gene2,Error
TCF25,TUBGCP5,0.0012349677
RFC4,RPL28,0.005590254
MRPL13,MRPS35,0.006462455
ELP4,GNPAT,0.010012663
CHMP2A,RPL28,0.01254684
MRPS30,NACA,0.018868323
MRPS35,NSMCE1,0.019758064
MRPS21,SEH1L,0.02237937
LIAS,PSMD4,0.02280194
NUP54,PTCD3,0.023360444
AATF,PPCS,0.04128275
NOLC1,TIMM22,0.05206217
BUB3,SPAG7,0.05351572
ANKZF1,MRPL43,0.06416586
CDC40,SSBP1,0.06734429
CWC22,MZT1,0.06889633
MARS2,MFAP1,0.07174229
CCNK,MED28,0.07587069
BUB3,RAD51,0.09137919
MRPL32,NUP85,0.09144745
RPS18,ZNRD1,0.10361515
MRPL32,TAF1,0.10440079
FAM50A,FBXO28,0.10510597
NUBP1,PPAT,0.10940621
GNPAT,RPL35,0.11057975
ATP1A1,CDK1,0.115228236
LEO1,WDR61,0.117520094
PPIE,PTCD3,0.12765388
MCM3,PITRM1,0.12821846
EIF4A1,RPL10,0.12963623
INTS3,PSMB7,0.1429695
MED23,MTBP,0.14492111
AARS2,PET112,0.14605936
PRIM2,YTHDC1,0.14619271
DICER1,RFC4,0.16243987
EIF3H,EXOSC6,0.1626531
FDPS,UBA2,0.18497872
ASNA1,NIP7,0.18657428
BNIP1,WDR61,0.19076997
CDC27,WDR61,0.19691336
LEO1,PDRG1,0.20493275
FAM50A,NIP7,0.20869169
BNIP1,LEO1,0.21212453
FAM208A,MCM4,0.21646576
GTF2H4,LEO1,0.22608447
CHMP2A,LEO1,0.25402588
ARL2,KIAA1731,0.25647384
RPS27A,SMC5,0.25662726
HUS1,UBA2,0.26631373
CDK1,LEO1,0.27754283
LEO1,NAMPT,0.27833682
COPS4,EIF2B5,0.29464063
CTNNBL1,GEMIN4,0.3040036
KDM1A,NDUFA9,0.30860823
EIF6,HUS1,0.31223297
MED14,MINOS1,0.31405026
BNIP1,MED23,0.3155424
TRA2B,XRN2,0.31627673
CTNNBL1,SDHC,0.32139033
DHODH,HUS1,0.32515574
CENPW,SKA3,0.32973135
ARL2,RPL11,0.3322159
CDC27,CENPW,0.3365336
COPS4,SMC5,0.3452282
MED1,NUBP1,0.346205
COPS4,NUDC,0.35139775
EIF3H,EXOSC2,0.35926324
MED1,MED9,0.36051106
NOLC1,ZNF598,0.36239776
CDK12,EXOSC2,0.36570448
MED24,MINOS1,0.36686003
EIF6,Ltn1,0.37186944
GEMIN4,GTF2H4,0.3720389
CDK1,MINOS1,0.37739247
EIF6,GNL3L,0.3787039
MBTPS2,TOMM22,0.3835715
ARIH1,TIPIN,0.38590217
PRIM2,UBA2,0.39298654
MED23,MINOS1-NBL1,0.4098721
SPDL1,TRA2B,0.4117816
MED1,MED24,0.41755778
DUT,RPS28,0.4362168
ARIH1,RPL10,0.45018107
DNTTIP2,PPP2R1A,0.45628694
CDK12,CHMP2A,0.46232355
ASCC3,NAT10,0.46621647
POLE,SDHC,0.48629847
NCAPD2,USE1,0.49010372
RBBP8,UBA2,0.49714535
CWC22,FAM50A,0.4978885
CENPM,PET112,0.5187752
METAP2,RPL36A,0.5246501
C14orf2,TRNAU1AP,0.52686286
DDX46,FIP1L1,0.5289667
MRPL27,PITRM1,0.5482366
ACTR10,EIF4G1,0.56822526
DDX18,DHODH,0.56942225
FAM50A,RPL30,0.586737
RPL10,XRN2,0.58887005
GTF3C3,Ltn1,0.636309
ACTR10,TCOF1,0.63692296
GFER,MRPL33,0.6394482
CENPM,CEP192,0.6454036
AURKA,SNRPB,0.64987576
CCNK,CHMP2A,0.6510258
DUT,GEMIN2,0.6519654
MINOS1,TUBGCP3,0.6624522
CENPK,XRN2,0.6948155
MRPS9,WDR61,0.7301113
CEP192,SEH1L,0.7577796
MED1,PSMD4,0.770051
EIF3H,EIF4G2,0.7827707
MRPL42,PGK1,0.7892198
PSMD4,SNAPC1,0.80008733
MED24,MRPL24,0.8555215
MED24,SEH1L,0.85567945
CCDC84,RBM17,0.8603488
GEMIN4,SNRPD3,0.8872333
PSMD4,SSBP1,0.9091455
MED24,MRPL36,0.91883945
ASCC3,RPLP1,0.97089016
GTPBP4,RPP30,0.9924853
