Gene1,Gene2,Error
AATF,PPCS,0.016150631
LEO1,WDR61,0.017381847
MRPL13,MRPS35,0.026627826
MRPS21,SEH1L,0.026715873
TCF25,TUBGCP5,0.026911
ELP4,GNPAT,0.034989942
NOLC1,TIMM22,0.035021964
BUB3,RAD51,0.035340544
ANKZF1,MRPL43,0.036895335
BNIP1,WDR61,0.041251957
MRPS30,NACA,0.041781966
MRPL32,NUP85,0.04662725
FDPS,UBA2,0.046989083
CDC27,WDR61,0.05277431
BNIP1,LEO1,0.055086017
RFC4,RPL28,0.06003584
NUP54,PTCD3,0.061050043
ASCC3,NAT10,0.06498715
MRPS35,NSMCE1,0.07493913
MARS2,MFAP1,0.07497861
GTF2H4,LEO1,0.08263546
PPIE,PTCD3,0.08566511
LEO1,PDRG1,0.08583915
DICER1,RFC4,0.08651967
FAM50A,FBXO28,0.08908621
ARL2,KIAA1731,0.093723476
BUB3,SPAG7,0.094214976
INTS3,PSMB7,0.09963163
NUBP1,PPAT,0.100491524
HUS1,UBA2,0.10518938
CHMP2A,LEO1,0.106188
NOLC1,ZNF598,0.11100205
MCM3,PITRM1,0.11777306
MRPL32,TAF1,0.11852647
RPS18,ZNRD1,0.11986497
EIF4A1,RPL10,0.120225705
DDX46,FIP1L1,0.12146317
CDK1,LEO1,0.13872081
CWC22,MZT1,0.14240153
BNIP1,MED23,0.14560103
CCNK,MED28,0.14579609
CTNNBL1,GEMIN4,0.1516065
ATP1A1,CDK1,0.15245953
FAM50A,NIP7,0.15454103
PRIM2,YTHDC1,0.1548689
MED14,MINOS1,0.15577489
ASNA1,NIP7,0.15896855
EIF3H,EXOSC2,0.16471034
CDC40,SSBP1,0.16591728
LIAS,PSMD4,0.16764075
COPS4,SMC5,0.17002112
CTNNBL1,SDHC,0.17052168
KDM1A,NDUFA9,0.17406052
ARL2,RPL11,0.17585862
EIF6,HUS1,0.17808777
CHMP2A,RPL28,0.18442535
DUT,RPS28,0.18736939
CENPW,SKA3,0.19380754
CDC27,CENPW,0.19843155
MED1,MED9,0.2019493
DHODH,HUS1,0.20386136
TRA2B,XRN2,0.20601851
CDK12,EXOSC2,0.21401
AARS2,PET112,0.22078447
MED24,MINOS1,0.22580063
GNPAT,RPL35,0.23072098
MED1,NUBP1,0.24353474
RPS27A,SMC5,0.25908756
PRIM2,UBA2,0.26647604
CDK1,MINOS1,0.26928782
EIF6,GNL3L,0.2766134
EIF6,Ltn1,0.27727407
GEMIN4,GTF2H4,0.28428906
FAM208A,MCM4,0.29014847
CWC22,FAM50A,0.29837757
MED1,MED24,0.2999078
ARIH1,TIPIN,0.3063807
MED23,MINOS1-NBL1,0.3220386
SPDL1,TRA2B,0.34406394
POLE,SDHC,0.35372034
MBTPS2,TOMM22,0.35744756
DNTTIP2,PPP2R1A,0.35880867
COPS4,NUDC,0.37775475
METAP2,RPL36A,0.419078
RPL10,XRN2,0.5008584
CDK12,CHMP2A,0.5226299
C14orf2,TRNAU1AP,0.5749693
ARIH1,RPL10,0.5779827
CENPM,PET112,0.57904255
MED23,MTBP,0.59826916
FAM50A,RPL30,0.6112383
EIF3H,EXOSC6,0.6214674
COPS4,EIF2B5,0.6418578
RBBP8,UBA2,0.64384997
DDX18,DHODH,0.64831746
MRPL42,PGK1,0.650969
MRPL27,PITRM1,0.6555881
CCNK,CHMP2A,0.66978765
MED1,PSMD4,0.69393593
PSMD4,SNAPC1,0.7090517
CENPM,CEP192,0.71350366
EIF3H,EIF4G2,0.7332624
GFER,MRPL33,0.7336901
AURKA,SNRPB,0.74065405
ACTR10,EIF4G1,0.74510854
DUT,GEMIN2,0.746646
ACTR10,TCOF1,0.7501649
CEP192,SEH1L,0.75413656
MINOS1,TUBGCP3,0.75795126
MED24,SEH1L,0.75982106
GTF3C3,Ltn1,0.80252075
MED24,MRPL24,0.8110077
GEMIN4,SNRPD3,0.81320924
PSMD4,SSBP1,0.8192123
NCAPD2,USE1,0.8252678
CENPK,XRN2,0.853772
MED24,MRPL36,0.8679411
CCDC84,RBM17,0.8912699
LEO1,NAMPT,0.89442784
MRPS9,WDR61,0.89860636
GTPBP4,RPP30,0.9155532
ASCC3,RPLP1,0.96660036
