Gene1,Gene2,Error
LEO1,WDR61,0.012508392
FDPS,UBA2,0.04960978
LEO1,PDRG1,0.050946414
CDC27,WDR61,0.054667354
BNIP1,WDR61,0.05741942
GTF2H4,LEO1,0.063945055
BNIP1,LEO1,0.068713605
ELP4,GNPAT,0.09343483
ARL2,KIAA1731,0.0980742
HUS1,UBA2,0.10476673
ANKZF1,MRPL43,0.1105302
TCF25,TUBGCP5,0.11241952
MRPS30,NACA,0.119701825
CDK1,LEO1,0.119832695
CTNNBL1,GEMIN4,0.12355441
AATF,PPCS,0.1259413
MARS2,MFAP1,0.13842894
BUB3,RAD51,0.15141182
LEO1,NAMPT,0.15982205
MED14,MINOS1,0.16217452
CTNNBL1,SDHC,0.16698092
FAM50A,FBXO28,0.1695466
NUP54,PTCD3,0.17057653
CHMP2A,RPL28,0.17728376
MRPL32,NUP85,0.1800273
MRPS21,SEH1L,0.18127447
NOLC1,TIMM22,0.18450245
EIF4A1,RPL10,0.18458672
DHODH,HUS1,0.18646204
MRPL13,MRPS35,0.18714993
BUB3,SPAG7,0.18958196
CHMP2A,LEO1,0.19281834
CENPW,SKA3,0.1987642
BNIP1,MED23,0.19993514
EIF6,HUS1,0.20022804
GNPAT,RPL35,0.20157027
MRPL32,TAF1,0.20460749
COPS4,NUDC,0.21981412
EIF3H,EXOSC2,0.22249466
ARL2,RPL11,0.2248472
CDC40,SSBP1,0.225252
PPIE,PTCD3,0.22926946
NOLC1,ZNF598,0.23090051
CDC27,CENPW,0.23090929
RFC4,RPL28,0.23761581
CCNK,MED28,0.23769823
INTS3,PSMB7,0.23858021
TRA2B,XRN2,0.24073315
MED1,NUBP1,0.24388754
MED1,MED9,0.24410975
KDM1A,NDUFA9,0.24800712
MED24,MINOS1,0.25102395
COPS4,EIF2B5,0.25189248
GEMIN4,GTF2H4,0.25439113
LIAS,PSMD4,0.25698078
CWC22,MZT1,0.25996676
DDX46,FIP1L1,0.26059824
COPS4,SMC5,0.2708856
RPS27A,SMC5,0.2738126
ATP1A1,CDK1,0.27483177
ASNA1,NIP7,0.2763993
FAM50A,NIP7,0.2793156
NUBP1,PPAT,0.2793212
SPDL1,TRA2B,0.28030968
PRIM2,UBA2,0.28071737
CDK1,MINOS1,0.28715098
RPS18,ZNRD1,0.30544677
FAM208A,MCM4,0.31662995
DUT,RPS28,0.3174838
PRIM2,YTHDC1,0.3178838
MED23,MINOS1-NBL1,0.31920725
AARS2,PET112,0.3196694
EIF6,GNL3L,0.3286457
MCM3,PITRM1,0.333097
EIF3H,EXOSC6,0.35204437
DICER1,RFC4,0.36293977
POLE,SDHC,0.3661364
ASCC3,NAT10,0.36915764
MRPS35,NSMCE1,0.37921056
MED1,MED24,0.38569325
RPL10,XRN2,0.39109632
CWC22,FAM50A,0.4130466
CDK12,EXOSC2,0.4157325
ARIH1,TIPIN,0.41708368
EIF6,Ltn1,0.4444511
MBTPS2,TOMM22,0.46408165
RBBP8,UBA2,0.46443957
MED23,MTBP,0.4648513
DNTTIP2,PPP2R1A,0.47184688
C14orf2,TRNAU1AP,0.5011359
CENPM,PET112,0.50713485
ARIH1,RPL10,0.53502715
FAM50A,RPL30,0.5373262
MINOS1,TUBGCP3,0.5650762
PSMD4,SNAPC1,0.57061183
MED1,PSMD4,0.6058501
GTF3C3,Ltn1,0.6286342
METAP2,RPL36A,0.6497232
DDX18,DHODH,0.6512287
MRPL27,PITRM1,0.66266507
CENPM,CEP192,0.6651075
MED24,MRPL24,0.6847839
AURKA,SNRPB,0.6897501
MRPL42,PGK1,0.70331573
PSMD4,SSBP1,0.7101618
GFER,MRPL33,0.7134432
ACTR10,EIF4G1,0.71661973
EIF3H,EIF4G2,0.7181744
MED24,SEH1L,0.7254692
CEP192,SEH1L,0.7256663
GEMIN4,SNRPD3,0.729084
ACTR10,TCOF1,0.7371509
MED24,MRPL36,0.74931073
CCDC84,RBM17,0.75887954
CCNK,CHMP2A,0.7652005
DUT,GEMIN2,0.7690576
NCAPD2,USE1,0.77982646
CDK12,CHMP2A,0.8015555
ASCC3,RPLP1,0.80547935
CENPK,XRN2,0.8137068
MRPS9,WDR61,0.84595287
GTPBP4,RPP30,0.8860227
